term,definition,source
"methods (0500, 3200, 4400)",,agu
"other (0468, 0702, 6205, 6210)",,agu
analogue modeling,,agu
catastrophe and catastrophe theory (3215),,agu
"extreme events (1817, 3235)",,agu
"mathematical and computer modeling (0500, 3200)",,agu
"monitoring, forecasting, prediction (1816, 1922, 2722, 3238, 3245, 4263, 7223, 7924)",,agu
"physical modeling (0466, 0545, 0798, 1622, 1847, 1952, 3355, 3367)",,agu
precursors,,agu
"statistical analysis (1984, 1986)",,agu
"spatial modeling (3252, 3255)",,agu
"climate impact (1630, 1637, 1807, 8408)",,agu
health impact,,agu
"human impact (1834, 7938)",,agu
"spatial decision support systems (1918, 6309)",,agu
"megacities and urban environment (0345, 0478, 0493)",,agu
resilience,,agu
risk (8488),,agu
sustainable development,,agu
vulnerability,,agu
disaster relief,,agu
disaster resilience,,agu
"disaster risk analysis and assessment (6304, 8488)",,agu
disaster risk communication,,agu
disaster management,,agu
economic impacts of disasters,,agu
"remote sensing and disasters (1243, 1640, 1855, 3360, 8485)",,agu
"disaster policy (6300, 6620)",,agu
"disaster mitigation (6309, 7914)",,agu
early warning systems,,agu
emergency management (6344),,agu
preparedness and planning (6334),,agu
microzonation and macrozonation,,agu
community management,,agu
emergency response and evacuations (1964),,agu
recovery and reconstruction after disaster,,agu
contingency planning,,agu
international organizations and natural disasters,,agu
interaction between science and disaster management authorities,,agu
sociology of disasters (1974),,agu
psychology of disasters,,agu
miscellaneous,,agu
"nonlinear geophysics (3200, 4307, 6944, 7839)",,agu
bifurcations and attractors,,agu
cascades,,agu
chaos (7805),,agu
critical phenomena,,agu
complex systems,,agu
emergent phenomena,,agu
fractals and multifractals,,agu
nonlinear differential equations,,agu
nonlinear maps,,agu
"nonlinear waves, shock waves, solitons (0689, 2487, 3280, 3285, 4275, 6934, 7851, 7852)",,agu
pattern formation,,agu
phase transitions,,agu
"probability distributions, heavy and fat-tailed (3265)",,agu
renormalization group methods,,agu
"scaling: spatial and temporal (1872, 1988, 3265, 3270, 4277, 7857)",,agu
self-organized criticality,,agu
self-organization,,agu
"turbulence (3379, 4568, 7863)",,agu
oceanography: general,,agu
analytical modeling and laboratory experiments,,agu
"arctic and antarctic oceanography (9310, 9315)",,agu
benthic boundary layers,,agu
"climate and interannual variability (1616, 1635, 3305, 3309, 4513)",,agu
coastal processes,,agu
continental shelf and slope processes (3002),,agu
coral reef systems (4916),,agu
descriptive and regional oceanography,,agu
"diurnal, seasonal, and annual cycles (0438)",,agu
equatorial oceanography,,agu
estuarine processes (0442),,agu
"limnology (0458, 1845, 4942)",,agu
marginal and semi-enclosed seas,,agu
marine meteorology,,agu
"marine pollution (0345, 0478)",,agu
"numerical modeling (0545, 0560, 1952)",,agu
ocean acoustics,,agu
ocean data assimilation and reanalysis (3225),,agu
ocean observing systems,,agu
"ocean predictability and prediction (3238, 4315)",,agu
ocean optics (0649),,agu
physical and chemical properties of seawater,,agu
physical and biogeochemical interactions,,agu
"remote sensing and electromagnetic processes (0689, 2487, 3285, 4455, 6934)",,agu
"time series experiments (1872, 1988, 3270, 4475)",,agu
upwelling and convergences (4964),,agu
water masses,,agu
oceanography: physical,,agu
"air/sea interactions (0312, 3339)",,agu
capillary waves,,agu
coriolis effects,,agu
currents,,agu
"decadal ocean variability (1616, 1635, 3305, 4215)",,agu
deep recirculations,,agu
eastern boundary currents,,agu
eddies and mesoscale processes,,agu
enso (4922),,agu
fine structure and microstructure,,agu
fronts and jets,,agu
"general circulation (1218, 1222)",,agu
hydrodynamic modeling,,agu
hydrography and tracers,,agu
"ice mechanics and air/sea/ice exchange processes (0700, 0750, 0752, 0754)",,agu
internal and inertial waves,,agu
nearshore processes,,agu
ocean fog,,agu
ocean influence of earth rotation (1223),,agu
overflows,,agu
planetary waves,,agu
"sea level: variations and mean (1222, 1225, 1641)",,agu
sediment transport (1862),,agu
surface waves and tides (1222),,agu
topographic/bathymetric interactions,,agu
"tsunamis and storm surges (4302, 4304)",,agu
"turbulence, diffusion, and mixing processes (4490)",,agu
upper ocean and mixed layer processes,,agu
western boundary currents,,agu
oceanography: biological and chemical (0460),,agu
"aerosols (0305, 4906)",,agu
analytical chemistry,,agu
"anoxic environments (0404, 1803, 4834, 4902)",,agu
"benthic processes, benthos (0408)",,agu
"biogeochemical cycles, processes, and modeling (0412, 0414, 0793, 1615, 4912)",,agu
carbon cycling (0428),,agu
chemical speciation and complexation,,agu
chemical tracers,,agu
chemosynthesis,,agu
colloids,,agu
ecological prediction,,agu
"ecosystems, structure, dynamics, and modeling (0439)",,agu
"food webs, structure, and dynamics (0491)",,agu
gases,,agu
higher trophic levels,,agu
"hydrothermal systems (0450, 1034, 3017, 3616, 8135, 8424)",,agu
"hypoxic environments (0404, 4802)",,agu
marine inorganic chemistry (1050),,agu
microbiology and microbial ecology (0465),,agu
natural products chemistry,,agu
"nutrients and nutrient cycling (0470, 1050)",,agu
"marine organic chemistry (0470, 1050)",,agu
oxidation/reduction reactions (0471),,agu
photochemistry,,agu
photosynthesis,,agu
physical chemistry,,agu
phytoplankton,,agu
population dynamics and ecology,,agu
radioactivity and radioisotopes,,agu
sedimentation (1861),,agu
sorptive scavenging,,agu
"stable isotopes (0454, 1041)",,agu
symbiosis,,agu
trace elements (0489),,agu
zooplankton,,agu
"instruments, sensors, and techniques",,agu
"paleoceanography (0473, 3344)",,agu
abrupt/rapid climate change (1605),,agu
"anthropogenic effects (1803, 4802)",,agu
atmospheric transport and circulation,,agu
"aerosols (0305, 4801)",,agu
astronomical forcing,,agu
"biogeochemical cycles, processes, and modeling (0412, 0414, 0793, 1615, 4805)",,agu
continental climate records,,agu
corals (4220),,agu
cosmogenic isotopes (1150),,agu
dendrochronology,,agu
el nino (4522),,agu
geochemical tracers,,agu
glacial,,agu
"global climate models (1626, 3337)",,agu
ice cores (0724),,agu
insolation forcing,,agu
interglacial,,agu
interhemispheric phasing,,agu
isotopic stage,,agu
"limnology (0458, 1845, 4239)",,agu
"micropaleontology (0459, 3030)",,agu
milankovitch theory,,agu
paleocene/eocene thermal maximum,,agu
paleoecology,,agu
palynology,,agu
sea surface temperature,,agu
speleothems,,agu
stadial,,agu
thermohaline,,agu
upwelling (4279),,agu
physical properties of rocks,,agu
acoustic properties,,agu
fracture and flow,,agu
magnetic and electrical properties (0925),,agu
microstructure,,agu
permeability and porosity,,agu
"plasticity, diffusion, and creep",,agu
thermal properties,,agu
transport properties,,agu
wave attenuation,,agu
planetary sciences: astrobiology,,agu
formation of stars and planets,,agu
"planetary atmospheres, clouds, and hazes (0343)",,agu
origin of life,,agu
hydrothermal systems and weathering on other planets,,agu
early environment of earth,,agu
planetary sciences: solid surface planets,,agu
aurorae and airglow,,agu
"composition (1060, 3672)",,agu
glaciation,,agu
heat flow,,agu
hydrology and fluvial processes,,agu
"impact phenomena, cratering (6022, 8136)",,agu
physical properties of materials,,agu
surface materials and properties,,agu
tectonics (8149),,agu
"volcanism (6063, 8148, 8450)",,agu
planetary sciences: fluid planets,,agu
tidal forces,,agu
tori and exospheres,,agu
planetary sciences: comets and small bodies,,agu
atmospheres (1060),,agu
"aurorae, airglow, and x-ray emission",,agu
"impact phenomena (5420, 8136)",,agu
interactions with solar wind plasma and fields,,agu
comets: dust tails and trails (6210),,agu
orbital and rotational dynamics,,agu
physics and chemistry of materials,,agu
"plasma and mhd instabilities (2149, 2752, 7836)",,agu
surfaces,,agu
radiation and chemistry,,agu
"volcanism (5480, 8450)",,agu
planetary sciences: solar system objects,,agu
asteroids (4308),,agu
asteroids: satellites,,agu
comparative planetology,,agu
"comets (4308, 6023)",,agu
centaurs,,agu
kuiper belt objects,,agu
"meteorites and tektites (1028, 3662)",,agu
moon (1221),,agu
pluto and satellites,,agu
extra-solar planets,,agu
"policy sciences (4338, 7964)",,agu
benefit-cost analysis (4333),,agu
"decision making under uncertainty (1918, 4324, 4339)",,agu
demand estimation,,agu
institutions,,agu
legislation and regulations (6615),,agu
project evaluation,,agu
"regional planning (1880, 4343)",,agu
system design,,agu
system operation and management (4342),,agu
public issues,,agu
legislation and regulations (6324),,agu
"science policy (0485, 4338)",,agu
workforce,,agu
radio science,,agu
electromagnetic noise and interference,,agu
"interferometry (1207, 1209, 1242)",,agu
"ionospheric physics (1240, 2400)",,agu
"ionospheric propagation (0689, 2487, 3285, 4275, 4455)",,agu
magnetospheric physics (2700),,agu
"nonlinear phenomena (4400, 7839)",,agu
radar astronomy,,agu
radar atmospheric physics (1220),,agu
radio astronomy,,agu
radio oceanography (1222),,agu
radio wave propagation,,agu
signal processing (0674),,agu
space and satellite communication,,agu
"tomography and imaging (7270, 8180)",,agu
waves in plasma (7867),,agu
instruments and techniques (1241),,agu
body waves,,agu
continental crust (1219),,agu
"core (1212, 1213, 8124)",,agu
"mantle (1212, 1213, 8124)",,agu
earthquake dynamics (1242),,agu
earthquake ground motions and engineering seismology (4302),,agu
earthquake source observations (1240),,agu
lithosphere (1236),,agu
seismic monitoring and test-ban treaty verification,,agu
oceanic crust,,agu
paleoseismology (8036),,agu
"earthquake interaction, forecasting, and prediction (1217, 1242, 4315)",,agu
"seismicity and tectonics (1207, 1217, 1240, 1242)",,agu
"subduction zones (1207, 1219, 1240)",,agu
mid-ocean ridges,,agu
transform faults,,agu
surface waves and free oscillations,,agu
theory,,agu
"tomography (6982, 8180)",,agu
"volcano seismology (4302, 8419)",,agu
computational seismology,,agu
"seismic instruments and networks (0935, 3025)",,agu
"solar physics, astrophysics, and astronomy",,agu
celestial mechanics,,agu
coronal holes,,agu
coronal mass ejections (2101),,agu
energetic particles (2114),,agu
flares,,agu
magnetic fields,,agu
"magnetic reconnection (2723, 7835)",,agu
prominence eruptions,,agu
radio emissions,,agu
solar activity cycle (2162),,agu
solar and stellar variability (1650),,agu
solar irradiance,,agu
stellar astronomy,,agu
stellar interiors and dynamo theory,,agu
ultraviolet emissions,,agu
"x-rays, gamma rays, and neutrinos",,agu
space plasma physics,,agu
active perturbation experiments,,agu
chaos (4420),,agu
charged particle motion and acceleration,,agu
discontinuities (2109),,agu
electrostatic structures,,agu
ionization processes (2423),,agu
kinetic and mhd theory,,agu
kinetic waves and instabilities,,agu
laboratory studies and experimental techniques,,agu
"magnetic reconnection (2723, 7526)",,agu
"mathematical and numerical techniques (0500, 3200)",,agu
"mhd waves and instabilities (2149, 2752, 6050)",,agu
neutral particles (2151),,agu
"nonlinear phenomena (4400, 6944)",,agu
parametric processes,,agu
plasma energization,,agu
plasma interactions with dust and aerosols (2461),,agu
radiation processes,,agu
shock waves (4455),,agu
solitons and solitary waves (4455),,agu
spacecraft/atmosphere interactions,,agu
"spacecraft sheaths, wakes, charging",,agu
"stochastic phenomena (3235, 3265, 4475)",,agu
transport processes,,agu
"wave/particle interactions (2483, 6984)",,agu
wave/wave interactions,,agu
space weather (4305),,agu
geomagnetically induced currents,,agu
engineering for hazard mitigation (4339),,agu
"forecasting (1922, 2722, 4315)",,agu
impacts on technological systems,,agu
impacts on humans (4323),,agu
ionospheric effects on radio waves,,agu
ionospheric storms (2441),,agu
magnetic storms (2788),,agu
models,,agu
"policy (2722, 6300)",,agu
satellite drag (1241),,agu
solar effects,,agu
space radiation environment,,agu
structural geology,,agu
continental neotectonics (8107),,agu
diapir and diapirism,,agu
dynamics and mechanics of faulting (8118),,agu
folds and folding,,agu
fractures and faults,,agu
kinematics of crustal and mantle deformation,,agu
high strain deformation zones,,agu
local crustal structure,,agu
"mechanics, theory, and modeling",,agu
melanges,,agu
mesoscopic fabrics,,agu
microstructures,,agu
rheology: crust and lithosphere (8159),,agu
rheology: general (8160),,agu
rheology: mantle (8162),,agu
rheology and friction of fault zones (8163),,agu
pluton emplacement,,agu
paleoseismology (7221),,agu
regional crustal structure,,agu
role of fluids,,agu
continental contractional orogenic belts and inversion tectonics,,agu
continental cratons,,agu
continental margins: convergent,,agu
"continental margins: divergent (1212, 8124)",,agu
continental margins: transform,,agu
continental neotectonics (8002),,agu
continental tectonics: compressional,,agu
continental tectonics: extensional (0905),,agu
continental tectonics: general (0905),,agu
continental tectonics: strike-slip and transform,,agu
"core processes (1213, 1507)",,agu
dynamics and mechanics of faulting (8004),,agu
dynamics of lithosphere and mantle: general (1213),,agu
"dynamics: convection currents, and mantle plumes",,agu
dynamics: gravity and tectonics,,agu
dynamics: seismotectonics,,agu
"earth's interior: composition and state (1212, 7207, 7208, 8105)",,agu
evolution of the earth (0325),,agu
heat generation and transport,,agu
"hydrothermal systems (0450, 1034, 3017, 3616, 4832, 8424)",,agu
"impact phenomena (5420, 6022)",,agu
"hotspots, large igneous provinces, and flood basalt volcanism",,agu
lithospheric flexure,,agu
obduction tectonics,,agu
ophiolites (3042),,agu
physics of magma and magma bodies,,agu
"planetary interiors (5430, 5724, 6024)",,agu
"planetary volcanism (5480, 8450)",,agu
planetary tectonics (5475),,agu
plate boundary: general (3040),,agu
plate motions: general (3040),,agu
plate motions: past (3040),,agu
plate motions: present and recent (3040),,agu
rheology: crust and lithosphere (8031),,agu
"rheology: general (1236, 8032)",,agu
rheology: mantle (8033),,agu
rheology and friction of fault zones (8034),,agu
stresses: crust and lithosphere,,agu
stresses: deep-seated,,agu
stresses: general,,agu
sedimentary basin processes,,agu
"subduction zone processes (1031, 3060, 3613, 8413)",,agu
tectonics and landscape evolution,,agu
tectonics and climatic interactions,,agu
tectonics and magmatism,,agu
"tomography (6982, 7270)",,agu
volcanic arcs,,agu
volcanology,,agu
"geochemical modeling (1009, 3610)",,agu
"thermodynamics (0766, 1011, 3611)",,agu
"reactions and phase equilibria (1012, 3612)",,agu
"subduction zone processes (1031, 3060, 3613, 8170)",,agu
"mid-oceanic ridge processes (1032, 3614)",,agu
"intra-plate processes (1033, 3615)",,agu
"hydrothermal systems (0450, 1034, 3017, 3616, 4832, 8135)",,agu
effusive volcanism (4302),,agu
mud volcanism (4302),,agu
subaqueous volcanism,,agu
explosive volcanism (4302),,agu
"planetary volcanism (5480, 6063, 8148)",,agu
volcanoclastic deposits,,agu
"volcano/climate interactions (1605, 3309, 4321)",,agu
atmospheric effects (0370),,agu
volcanic gases,,agu
lava rheology and morphology,,agu
magma migration and fragmentation,,agu
eruption mechanisms and flow emplacement,,agu
physics and chemistry of magma bodies,,agu
calderas,,agu
experimental volcanism,,agu
tephrochronology (1145),,agu
remote sensing of volcanoes (4337),,agu
"field relationships (1090, 3690)",,agu
"volcano monitoring (4302, 7280)",,agu
"volcanic hazards and risks (4302, 4328, 4333)",,agu
geographic location,,agu
africa,,agu
antarctica (4207),,agu
"arctic region (0718, 4207)",,agu
asia,,agu
atlantic ocean,,agu
australia,,agu
europe,,agu
indian ocean,,agu
"large bodies of water (e.g., lakes and inland seas) (0746)",,agu
north america,,agu
pacific ocean,,agu
south america,,agu
information related to geologic time,,agu
cenozoic,,agu
neogene,,agu
paleogene,,agu
mesozoic,,agu
cretaceous,,agu
jurassic,,agu
triassic,,agu
paleozoic,,agu
permian,,agu
carboniferous,,agu
devonian,,agu
silurian,,agu
ordovician,,agu
cambrian,,agu
precambrian,,agu
proterozoic,,agu
archean,,agu
instruments useful in three or more fields,,agu
notices and announcements,,agu
techniques applicable in three or more fields,,agu
corrections,,agu
absorption,Decrease of radiant energy (relative to the background continuum spectrum).,spase
access information,"Attributes of the resource which pertain to how to accessing the resource, availability and storage format.",spase
access rights,Permissions granted or denied by the host of a product to allow other users to access and use the resource.,spase
access url,"Attributes of the method for accessing a resource including a URL, name and description.",spase
ac electric field,Alternating electric field component of a wave.,spase
acknowledgement,"The individual, group or organization which should be acknowledged when the data is used in or contributes to a presentation or publication.",spase
ac magnetic field,Alternating magnetic field component of a wave.,spase
active,Exerting an influence or producing a change or effect. An active measurement is one which produces a transmission or excitation as a part of the measurement cycle.,spase
active region,"A localized, transient volume of the solar atmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed.",spase
activity index,"An indication, derived from one or more measurements, of the level of activity of an object or region, such as sunspot number, F10.7 flux, Dst, or the Polar Cap Indices.",spase
address,Directions for finding some location; written on letters or packages that are to be delivered to that location.,spase
adiabatic invariant,A property of a physical system usually related to periodic phenomena that remains constant under slowly varying conditions.,spase
aerosol,A suspension of fine solid or liquid particles in a gas.,spase
agency,The name of an organization that provides a service or funding for specific projects.,spase
akasofu epsilon,"A measure of the magnetopause energy flux and an indicator of the solar wind power available for subsequent magnetospheric energization. Defined as: V*B^2*l^2sin(theta/2)^4 where B is the IMF, l is an empirical scaling parameter equal to 7 RE, and theta = tan(BY /BZ)^-1 the IMF clock angle.",spase
alfven mach number,The ratio of the bulk flow speed to the Alfven speed.,spase
alfven velocity,Phase velocity of the Alfven wave; In SI units it is the velocity of the magnetic field divided by the square root of the mass density times the permeability of free space (mu).,spase
alpha particle,A positively charged nuclear particle that consists of two protons and two neutrons.,spase
alternate name,"An alternative or shortened name used to refer to a resource. This includes acronyms, expanded names or a synonym for a resource.",spase
ancillary,"A complementary item which can be subordinate, subsidiary, auxiliary, supplementary to the primary item.",spase
anisotropy,Direction-dependent property.,spase
annotation,Information which is explanatory or descriptive which is associated with another resource.,spase
annotation type,A classification for an annotation.,spase
anomaly,An interval where measurements or observations may be adversely affected.,spase
antenna,A sensor used to measure electric potential.,spase
api,"An application programming interface (API) is a form of interface that allows applications to access the features or data of an operating system, application, or other service. An API may have a required protocol or set of principles. Some examples of protocols are SOAP, XML-RPC and JSON-RPC. An example of an API with a set of principles is REST.",spase
application interface,The type of interface for the application.,spase
archive specialist,"An individual who is an expert on a collection of resources and may also be knowledgeable of the phenomenon and related physics represented by the resources. This includes librarians, curators, archive scientists and other experts.",spase
area,"Integration over the extent of a planar region, or of the surface of a solid.",spase
ariel,The fourth-largest moon of Uranus.,spase
array,"A sequence of values corresponding to the elements in a rectilinear, n-dimension matrix. Each value can be referenced by a unique index.",spase
arrival direction,An angular measure of the direction from which an energetic particle or photon was incident on a detector. The angles may be measured in any coordinate system.,spase
ascii,A sequence of characters that adheres to American Standard Code for Information Interchange (ASCII) which is an 7-bit character-coding scheme.,spase
association,Attributes of a relationship a resource has with another resource.,spase
association id,The resource identifier for a resource with which this resource is closely associated.,spase
association type,A characterization of the role or purpose of an associated resource.,spase
asteroid,A small extraterrestrial body consisting mostly of rock and metal that is in orbit around the sun.,spase
atmosphere,The neutral gases surrounding a body that extends from the surface and is bound to the body by virtue of the gravitational attraction.,spase
atom,Matter consisting of a nucleus surrounded by electrons which has no net charge.,spase
atomic number,The number of protons in the nucleus of an atom.,spase
atomic number detected,The number of protons in the nucleus of an atom as determined by a detector.,spase
author,"The composer of a literary work. This can include presentations, articles, books, white papers or any similar published work.",spase
auroral region,The region in the atmospheric where electrically-charged particles bombarding the upper atmosphere of a planet in the presence of a magnetic field produce an optical phenomenon.,spase
authors,"A list of individuals or organizations who prepared the work (document, data, images or other types of resources). Separate multiple names with a semicolon. When an author is a persons use ""last,first[,middle]"" format. Including a middle name is optional.",spase
automatic,Determined by the analysis or assessment performed by a program or server.,spase
auto spectrum,"The Fourier transform of the auto correlation function for physical or empirical observations, which describes the general dependence of the time series data values at one instant on the time series data values at another instant.",spase
availability,An indication of the method or service which may be used to access the resource.,spase
average,The statistical mean; the sum of a set of values divided by the number of values in the set.,spase
average charge state,A measure of the composite deficit (positive) or excess (negative) of electrons with respect to protons.,spase
avi,Audio Video Interleave (AVI) a digital format for movies that conforms to the Microsoft Windows Resource Interchange File Format (RIFF).,spase
award number,The identifying information assigned to the financial support (funding) of a project.,spase
axis label,"A short character string (approximately 10 characters, but preferably 6 characters - more only if absolutely required for clarity) which can be used to label a y-axis for a plot or to provide a heading for a data listing.",spase
azimuthal angle range,The range of possible azimuthal angles for a group of energy observations. Default units are degrees.,spase
azimuth angle,"The angle between the projection into the i-j plane of a position or measured vector and the i-axis of the coordinate system. Mathematically defined as arctan(j/i). This term could be also applied to angles measured in different planes, for example the IMF clock angle defined as arctan(|By|/Bz).",spase
band name,A common or provider assigned name for a range of values.,spase
bandwidth,Integration over the width a frequency band.,spase
base64,"A data encoding scheme whereby binary-encoded data is converted to printable ASCII characters. It is defined as a MIME content transfer encoding for use in Internet e-mail. The only characters used are the upper- and lower-case Roman alphabet characters (A-Z, a-z), the numerals (0-9), and the ""+"" and ""/"" symbols, with the ""="" symbol as a special suffix (padding) code.",spase
bin,A grouping of observations according to a band or window of a common attribute.,spase
binary,A direct representation of the bits which may be stored in memory on a computer.,spase
bounce motion,"The second adiabatic invariant is associated with periodic bounce motion of charged particles trapped between two magnetic mirrors on a magnetic field line. The second invariant, termed J, is defined by using the integral J = m &int;  v|| * ds where m is the mass of the charged particle, v|| is the particle velocity along the field line, and ds represents elemental arc lengths along the field line. The second adiabatic invariant is conserved as long as changes in the background magnetic field occur at time scales much longer than the bounce time of the charged particles.",spase
bow shock crossing,"A crossing of the boundary between the undisturbed (except for foreshock effects) solar wind and the shocked, decelerated solar wind of the magnetosheath.",spase
browse,A representation of an image which is suitable to reveal most or all of the details of the image.,spase
bzip2,An open standard algorithm by Julian Seward using Burrows-Wheeler block sorting and Huffman coding. See <http://www.bzip.org/>,spase
cadence,The nominal or most common time interval between the start of successive measurements.,spase
cadence max,The largest time interval between the start of successive measurements.,spase
cadence min,The smallest time interval between the start of successive measurements.,spase
ca k,A spectrum with a wavelength of range centered near 393.5 nm. VSO nickname: Ca-K image with range of 391.9 nm to 395.2 nm.,spase
calibrated,"Data wherein sensor outputs have been convolved with instrument response function, often irreversibly, to yield data in physical units. Similar to NASA Level 2.",spase
carrington,"A coordinate system which is centered at the Sun and is ""fixed"" with respect to the synodic rotation rate; the mean synodic value is about 27.2753 days. The Astronomical Almanac gives a value for Carrington longitude of 349.03 degrees at 0000 UT on 1 January 1995.",spase
cartesian,"A representation in which a position vector or a measured vector (e.g., field or flow) is specified by its components along the base axes of the coordinate system.",spase
catalog,"A tabular listing of events or observational notes, especially those that have utility in aiding a user in locating data. Catalogs include lists of events, files in a product, and data availability. A Catalog resource is a type of ""data product"" which is a set of data that is uniformly processed and formatted, from one or more instruments, typically spanning the full duration of the observations of the relevant instrument(s). A data product may consist of a collection of granules of successive time spans, but may be a single high-level entity.",spase
caveats,"Information which may be important in the avoidance of the misuse of the resource, for instance instrument maladies, corruption or contamination.",spase
cdf,Common Data Format (CDF). A binary storage format developed at Goddard Space Flight Center (GSFC).,spase
cef,Cluster Exchange Format (CEF) is a self-documenting ASCII format designed for the exchange of data. There are two versions of CEF which are not totally compatible.,spase
cef1,"Cluster Exchange Format (CEF), version 1, is a self-documenting ASCII format designed for the exchange of data. The metadata contains information compatible with the ISTP recommendations for CDF.",spase
cef2,"Cluster Exchange Format (CEF), version 2, is a self-documenting ASCII format designed for the exchange of data and introduced for Cluster Active Archive. Compared to version 1, the metadata description of vectors and tensors is different.",spase
cgm,"Corrected Geomagnetic - A coordinate system from a spatial point with GEO radial distance and geomagnetic latitude and longitude, follow the epoch-appropriate IGRF/DGRF model field vector through to the point where the field line crosses the geomagnetic dipole equatorial plane. Then trace the dipole magnetic field vector Earthward from that point on the equatorial plane, in the same hemisphere as the original point, until the initial radial distance is reached. Designate the dipole latitude and longitude at that point as the CGM latitude and longitude of the original point. See <http://nssdc.gsfc.nasa.gov/space/cgm/cgmm_des.html>",spase
channeltron,"An instrument that detects electrons, ions, and UV-radiation, according to the principle of a secondary emission multiplier. It is typically used in electron spectroscopy and mass spectrometry.",spase
characteristic,A quantity which can be easily identified and measured in a given environment.,spase
charge flux,"The number of ionized particles passing through a unit area per unit time, for instance as measured by a Faraday cup.",spase
charge state,"Charge of a fully or partially stripped ion, in units of the charge of a proton. Charge state of a bare proton = 1.",spase
checksum,A computed value that is dependent upon the contents of a digital data object. Primarily used to check whether errors or alterations have occurred during the transmission or storage of a data object.,spase
child event of,A descendant or caused by another resource.,spase
circular,"Relative to polarization, right-hand circularly polarized light is defined such that the electric field is rotating clockwise as seen by an observer towards whom the wave is moving. Left-hand circularly polarized light is defined such that the electric field is rotating counterclockwise as seen by an observer towards whom the wave is moving. The polarization of magnetohydrodynamic waves is specified with respect to the ambient mean magnetic field : right-hand polarized waves have a transverse electric field component which turns in a right-handed sense (that of the gyrating electrons) around the magnetic field.",spase
classification method,The technique used to determine the characteristics of an object.,spase
cli,A command-line interface (CLI) is a form of interface where input to an application is provided as lines of text typically within a shell. ,spase
code language,"A formal language, which comprises a set of instructions that produce various kinds of output.  ",spase
coherence,"The coherence, Cxy, between two signals x(t) and y(t) is a real-valued function. The square of the coherence is defined by using: Cxy^2 = |Gxy(f)|^2 / Gxx(f)Gyy(f) where Gxy(f) is equal to the cross-spectral density between two time series denoted as x and y, respectively, and Gxx(f) and Gyy(f) are equal to the auto-spectral densities of the same two time series. Values of Cxy 2 always lie in the range between zero and one, 0 = Cxy 2 = 1, in accordance with the Cauchy-Schwarz inequality.",spase
co investigator,An individual who is a scientific peer and major participant in an investigation.,spase
collection,"An aggregation of resources, which may include one or more resource types. A collection describes the group with the members described separately and referenced by an identifier. An example is an experiment which uses the data from multiple instruments (or sensors). Another example is a research effort that uses a set of display images of the Sun and Energetic particle data from the corresponding times for the images, and FITS files of AIA images, etc. All the resources that are part of the research effort can be described as a Collection. Yet another example is a coordinated set of time series used for determining an index.",spase
color bar,A spectrum or set of colors used to represent data values.,spase
column,A two-dimensional measure of a quantity. The column is the area over which the quantity is measured.,spase
comet,A relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit.,spase
component,Projection of a vector along one of the base axes of a coordinate system.,spase
confidence,An expression of how certain that a quantity is valid or accurate.,spase
confidence rating,A classification of the certainty of an assertion.,spase
contact,The person or organization who may be able to provide special assistance or serve as a channel for communication for additional information about a resource.,spase
contributor,An entity responsible for making contributions to the content of the resource.,spase
convention,"A set of agreed, stipulated, or generally accepted approaches or methods of adopting a standard or implementing a approach. ",spase
coordinate representation,The method or form for specifying a given point or vector in a given coordinate system.,spase
coordinate system,The specification of the orientation of a set of (typically) orthogonal base axes.,spase
coordinate system name,"Identifies the coordinate system in which the position, direction or observation has been expressed.",spase
co pi,An individual who is peer of a principal investigator and is an administrative and scientific lead for an investigation.,spase
core,"The central or main part of an object or calculated distribution. For example, the part of a distribution of particles at low energies that is a thermal (Maxwellian) population. ",spase
cores,An application processor that is part of a CPU. ,spase
coronal hole,"An extended region of the corona, exceptionally low in density and associated with unipolar photospheric regions. A coronal hole can be an ""open"" magnetic field in the corona and (perhaps) inner heliosphere which has a faster than average outflow (wind); A region of lower than ""quiet"" ion and electron density in the corona; or a region of lower peak electron temperature in the corona than in the ""quiet"" corona.",spase
coronal mass ejection,A solar event (CME) that involves a burst of plasma ejected into the interplanetary medium. CME's may be observed remotely relatively near the sun or in situ in the interplanetary medium. The latter type of observations are often referred to as Interplanetary CME's (ICME's).,spase
coronograph,An instrument which can image things very close to the Sun by using a disk to block the Sun's bright surface which reveals the faint solar corona and other celestial objects.,spase
count rate,The number of events per unit time.,spase
counts,The number of detection events occurring in a detector over the detector accumulation time.,spase
cross spectrum,The Fourier transform of the cross correlation of two physical or empirical observations.,spase
cso,"Corrected Solar Orbital - A coordinate system related to Earth where X is anti-sunward, Y along the orbital velocity direction.",spase
csv,Comma Separated Value - A data exchange format defined by RFC 4180.,spase
current,The flow of electrons through a conductor caused by a potential difference.,spase
cylindrical,"A coordinate representation of a position vector or measured vector (field or flow) by its k-component, the magnitude of its projection into the i-j plane, and the azimuthal angle of the i-j plane projection.",spase
data,"A collection of organized information, usually the results of experience, observation or experiment, or a set of premises. This may consist of numbers, words, or images, particularly as measurements or observations of a set of variables.",spase
data extent,The area of storage in a file system required to store the contents of a resource. The default units for data extent is bytes.,spase
data producer,An individual who generated the resource and is familiar with its provenance.,spase
