term,definition,source
energy per charge,"The kinetic energy, E, per unit net charge, q, that is E/q, for an electron or an ionized atom, molecule, or dust particle.",spase
enp,"ENP (also called PEN) - The P vector component points northward, perpendicular to orbit plane which for a zero degree inclination orbit is parallel to Earth's spin axis. The E vector component is perpendicular to P and N and points earthward. The N component is perpendicular to P and E and is positive eastward.",spase
entropy,"A function of thermodynamic quantity, such as temperature, pressure, or composition, that is a measure of the energy that is not available for work during a thermodynamic process. It is often interpreted as the degree of disorder or randomness in the system.",spase
ephemeris,The spatial coordinates of a body as a function of time. When used as an Instrument Type it represents the process or methods used to generate spatial coordinates.,spase
epntap,"Europlanet (EPN) Table Access Protocol (TAP) is a framework, which is using TAP with the EPNcore metadata dictionary. The EPNcore metadata dictionary defines the core components that are necessary to perform data discovery in the Solar System related science fields. https://github.com/ivoa-std/EPNTAP",spase
equatorial region,A region centered on the equator and limited in latitude by approximately 23 degrees north and south of the equator.,spase
equivalent width,The spectral width of a total absorption line having the amount of absorbed radiant energy being equivalent to that in an observed absorption line.,spase
e region,A layer of ionised gas occurring at 90-150km above the ground. One of several layers in the ionosphere. Also called the The Kennelly-Heaviside layer.,spase
event,An action or observation which occurs at a point in time.,spase
excel,A Microsoft spreadsheet format used to hold a variety of data in tables which can include calculations.,spase
experiment,A collection of components which are designed to make coordinated observations of a phenomenon or object. Projects and missions may refer to an 'experiment' by other names like 'suite'. ,spase
expiration date,"The date and time when a resource is no longer available. If the Expiration Date is specified then it indicates that resource should not be made available after that time. However, this is only advisory and in practice a resource description should be unpublished to eliminate access to a resource.",spase
extreme ultraviolet,A spectrum with a wavelength range of 10.0 nm to 125.0nm. VSO nickname: EUV image with a range of of 10.0 nm to 125.0 nm,spase
faraday cup,An instrument consisting of an electrode from which electrical current is measured while a charged particle beam (electrons or ions) impinges on it. Used to determine energy spectrum and sometimes ion composition of the impinging particles.,spase
far ultraviolet,A spectrum with a wavelength range of 122 nm to 200.0nm. VSO nickname: FUV image with a range of 122.0 nm to 200 nm,spase
feature,A prominent or distinctive characteristic that occurs at a location or persists over a period of time.,spase
field aligned,The component of a quantity which is oriented in the same direction of a field.,spase
field quantity,The physical attribute of the field.,spase
file,Access to a file containing the data.,spase
film,"An image recording medium on which usually a ""negative"" analog image is registered. A ""positive"" image can be recovered or reproduced from film, which is usually made of flexible materials for ease of storage and transportation.",spase
fit,Values that make an model agree with the data.,spase
fits,"Flexible Image Transport System (FITS) is a digital format primarily designed to store scientific data sets consisting of multi-dimensional arrays (1-D spectra, 2-D images or 3-D data cubes) and 2-dimensional tables containing rows and columns of data.",spase
flow speed,The rate at which particles or energy is passing through a unit area in a unit time.,spase
flow velocity,The volume of matter passing through a unit area perpendicular to the direction of flow in a unit of time.,spase
fluence,"The time integral of a flux. A fluence does not have any ""per unit time"" in its units.",spase
flux feedback,A search coil whose bandwidth and signal/noise ratio are increased by the application of negative feedback at the sensor (flux) level by driving a collocated coil with a signal from the preamplifier.,spase
forbush decrease,"A rapid decrease in the observed galactic cosmic ray intensity following the passage of an outwardly convecting interplanetary magnetic field disturbance, such as those associated with large CME's, that sweep some galactic cosmic rays away from Earth.",spase
format,"The organization of data according to preset specifications. The value is selected from a list of accepted names for known, well documented formats.",spase
former pi,"An individual who had served as the administrative and scientific lead for an investigation, but no longer assumes that role.",spase
fourier transform spectrograph,"An instrument that determines the spectra of a radiative source, using time-domain measurements and a Fourier transform.",spase
f region,"A layer that contains ionized gases at a height of around 150-800 km above sea level, placing it in the thermosphere. the F region has the highest concentration of free electrons and ions anywhere in the atmosphere. It may be thought of as comprising two layers, the F1-and F2-layers. One of several layers in the ionosphere. Also known as the Appleton layer.",spase
frequency,The number of occurrences of a repeating event per unit time.,spase
frequency to gyrofrequency ratio,The ratio of the characteristic frequency of a medium to gyrofrequency of a particle.,spase
gamma rays,Photons with a wavelength range: 0.00001 to 0.001 nm,spase
gei,"GEI Geocentric Equatorial Inertial - A coordinate system where the Z axis is along Earth's spin vector, positive northward. X axis points towards the first point of Aries (from the Earth towards the Sun at the vernal equinox). See Russell, 1971. When the X axis is the direction of the mean vernal equinox of J2000, the coordinate system is also called GCI. Then the Z axis is also defined as being normal to the mean Earth equator of J2000.",spase
geiger mueller tube,An instrument which measures density of ionizing radiation based on interactions with a gas.,spase
general contact,An individual who can provide information on a range of subjects or who can direct you to a domain expert.,spase
geo,"Geographic - geocentric corotating - A coordinate system where the Z axis is along Earth's spin vector, positive northward. X axis lies in Greenwich meridian, positive towards Greenwich. See Russell, 1971.",spase
geometric factor," A measure of the gathering power of a particle detector. The geometric factor can be used to correct particle measurements by accounting for the fact that only a fraction of source particles are able to gain entry through the aperture of a detector. For an isotopic source distribution, the geometric factor corresponds to the solid angle subtended by the aperture. In practice, determination of the geometric factor requires numerical modeling and depends on detector design and the characteristics of the source.",spase
gif,Graphic Interchange Format (GIF) first introduced in 1987 by CompuServe. GIF uses LZW compression and images are limited to 256 colours.,spase
git,"Git is a version control system for tracking changes in any set of files. It is known for its speed, data integrity, and support for distributed, non-linear workflows.",spase
gphio,"Kronian Solar Orbital - A coordinate system related to Saturn where X is anti-sunward, Y along the orbital velocity direction.",spase
group,An assemblage of values that a certain relation or common characteristic.,spase
gse,"Geocentric Solar Ecliptic - A coordinate system where the X axis is from Earth to Sun. Z axis is normal to the ecliptic, positive northward. See Russell, 1971.",spase
gseq,"Geocentric Solar Equatorial - A coordinate system where the X axis is from Earth to Sun. Y axis is parallel to solar equatorial plane. Z axis is positive northward. See Russell, 1971",spase
gsm,"Geocentric Solar Magnetospheric - A coordinate system where the X axis is from Earth to Sun, Z axis is northward in a plane containing the X axis and the geomagnetic dipole axis. See Russell, 1971",spase
gui,"A graphical user interface (GUI) is a form of user interface that allows users to interact with an application through graphical icons, forms  and other elements with both a keyboard and a pointing device. ",spase
gyrofrequency,The number of gyrations around a magnetic guiding center (field line) a charged particle makes per unit time due to the Lorentz force.,spase
gzip,An open standard algorithm distributed by GHU based on LZ77 and Huffman coding. See <http://www.gnu.org/software/gzip/gzip.html> or <http://www.gzip.org/>,spase
hae,"Heliocentric Aries Ecliptic - A coordinate system where the Z axis is normal to the ecliptic plane, positive northward. X axis is positive towards the first point of Aries (from Earth to Sun at vernal equinox). Same as SE below. See Hapgood, 1992.",spase
halo,"The part of an object or distribution surrounding some central body or distribution.  For example, the particles above the core energies that show enhancements above the thermal population.  Typically, a ""power law tail"" shows a break from the core Maxwellian at a particular energy.",spase
halpha,A spectrum with a wavelength range centered at 656.3 nm. VSO nickname: H-alpha image with a spectrum range of of 655.8 nm to 656.8 nm.,spase
hapi,A Heliophysics Application Programmer Interface (HAPI) specification compliant access point.,spase
hardcopy,"A permanent reproduction, or copy in the form of a physical object, of any media suitable for direct use by a person.",spase
hard xrays,Photons with a wavelength range: 0.001 to 0.1 nm and an energy range of 12 keV to 120 keV,spase
hash function,A function or algorithm that converts a digital data object into a hash value. Typically the hash value is small and concise when compared to the digital data object.,spase
hcc,"Heliocentric Cartesian - A 3-D orthonormal coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points toward the observer. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Standard representation for this system is via the point's x and y values, expressed either as physical distances or as fractions of the solar disk radius.",spase
hci,Heliographic Carrington Inertial.,spase
hcr,"Heliocentric Radial - A 3-D orthonormal coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points toward the observer. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Standard representation for this system is via the point's distance rho from the Z axis [Rho = SQRT(x**2 + y**2)] and its phase angle psi measured counterclockwise from the +Y axis [psi = arctan (-y/x)]",spase
hdf,Hierarchical Data Format,spase
hdf4,"Hierarchical Data Format, Version 4",spase
hdf5,"Hierarchical Data Format, Version 5",spase
he10830,A spectrum with a wavelength range centered at 1082.9 nm. VSO nickname: He 10830 image with a range of 1082.5 nm to 1083.3 nm.,spase
he304,A spectrum centered around the resonance line of ionised helium at 304 Angstrom (30.4 nm).,spase
heat flux,Flow of thermal energy through a gas or plasma; typically computed as third moment of a distribution function.,spase
hee,"Heliocentric Earth Ecliptic - A coordinate system where the Z axis is normal to the ecliptic plane, positive northward. X axis points from Sun to Earth. See Hapgood, 1992",spase
heeq,"Heliocentric Earth Equatorial - A coordinate system where the Z axis is normal to the solar equatorial plane, positive northward. X axis is generally Earthward in the plane defined by the Z axis and the Sun-Earth direction. See Hapgood, 1992.",spase
hertn,"Helio-Eclipitic Radial Tangential Normal coordinate system. Typically centered at a spacecraft. The X axis (radial) is set as the primary axis, and is defined as the axis pointing from the spacecraft to the Sun.  The Z axis (tangential) is set as the secondary axis, and is defined as that portion of the ecliptic rotational axis which is perpendicular to the primary axis. The Y axis (Normal) is defined as Z cross X.",spase
hg,"Heliographic - A heliocentric rotating coordinate system where the Z axis is normal to the solar equatorial plane, positive northward. X, Y axes rotate with a 25.38 day period. The zero longitude (X axis) is defined as the longitude that passed through the ascending node of the solar equator on the ecliptic plane on 1 January, 1854 at 12 UT. See <http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>",spase
hgi,"Heliographic Inertial - A heliocentric coordinate system where the Z axis is normal to the solar equatorial plane, positive northward. X axis is along the intersection line between solar equatorial and ecliptic planes. The X axis was positive at SE longitude of 74.367 deg on Jan 1, 1900. (See SE below.) See <http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>",spase
hgrtn,"Heliocentric Radial Tangential Normal coordinate system (aka RTN). Typically centered at a spacecraft. Used for IMF and plasma V vectors. The X axis (radial) is set as the primary axis, and is defined as the axis pointing from the spacecraft to the Sun. The Z axis (tangential) is set as the secondary axis, and is defined as that portion of the solar North rotational axis which is perpendicular to the primary axis. The Y axis (normal) is defined as Z cross X.",spase
horizontal,Parallel to or in the plane of the horizon or a base line.,spase
host contact,An individual who can provide specific information with regard the hosting of a resource or supporting software.,spase
housekeeping,"Parameters that indicate the status or health state of instruments or monitoring devices as measured in physical units such as that for current, voltage, or temperature. Housekeeping data can be analyzed to determine whether instruments are working correctly and the knowledge of their values may be used to avoid errors or even device failures.",spase
hpc,"Helioprojective Cartesian = A 3-D orthonormal (left-handed) coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points from the observer to the center of the solar disk. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Given as the distance between the observer and the center of the solar disk, the standard representation of an (x,y) point on the solar disk is via the point's longitude angle [arctan (x/d)] and latitude angle [arctan y/d].",spase
hpr,"Helioprojective Radial - A 3-D orthonormal (left-handed) coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points from the observer to the center of the solar disk. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Given as the distance between the observer and the center of the solar disk, the standard representation for this system of an (x,y) point on the solar disk is via the point's latitude angle theta {= arctan [SQRT(x**2 + y**2)]/d]} or equivalent declination parameter delta (= theta - 90 deg), and its phase angle psi as measured counter- clockwise from the +Y axis [psi = arctan (-y/x)].",spase
hsm,"Heliospheric Solar Magnetospheric - A coordinate system where the X axis is from Earth to Sun, Z axis is northward in a plane containing the X axis and the geomagnetic dipole axis.",spase
html,A text file containing structured information represented in the HyperText Mark-up Language (HTML). See <http://www.w3.org/MarkUp/>,spase
hydrodynamic,Periodic or quasi-periodic oscillations of fluid quantities.,spase
i,"Projection of a vector along the first named axis of a coordinate system. Typically the X axis, but could be the R axis for an RTN coordinate system.",spase
iapetus,The third-largest moon of Saturn and the eleventh-largest in the Solar System.,spase
idfs,"Instrument Data File Set (IDFS) is a set of files written in a prescribed format which contain data, timing data, and meta-data. IDFS was developed at Southwest Research Institute (SwRI).",spase
idl,Interactive Data Language (IDL) save set. IDL is a proprietary format.,spase
ij,A measure of the length of a position or measured vector projected into the i-j (typically X-Y) plane of the coordinate system.,spase
ik,A measure of the length of a position or measured vector projected into the i-k (typically X-Z) plane of the coordinate system.,spase
image,A two-dimensional representation of data with values at each element of the array related to an intensity or a color.,spase
image intensity,"Measurements of the two-dimensional distribution of the intensity of photons from some region or object such as the Sun or the polar auroral regions; can be in any wavelength band, and polarized, etc.",spase
imager,An instrument which samples the radiation from an area at one or more spectral ranges emitted or reflected by an object.,spase
image url,"A URL to graphic, image or movie.",spase
imaginary part,"Any number z can in general be represented by its complex form with z = a + ib where i, which is defined as the square root of -1, signifies the imaginary component of the number z. The coefficient b is called the imaginary part of the complex number z.",spase
imaging spectrometer,An instrument which is a multispectral scanner with a very large number of channels (64-256 channels) with very narrow band widths.,spase
imf clock angle,The clockwise angle of the direction of interplanetary magnetic field (IMF) measured in the plane of the body pole perpendicular to the line between the body and the Sun. ,spase
index,"The location of an item in an array or vector. An index can be multivalued to represent the location in a multidimensional object. The index of the first item is ""1"". A value of ""0"" is a wild card for all elements at the location in an array. A value of ""-1"" is a reference to the dimension at the location in the array. A ""-1"" is used when describing the attributes of the dimension, where as ""0"" or a positive integer is used to describe attributes of individual elements.",spase
inferred,Determined by the analysis of other information or resources.,spase
infrared,Photons with a wavelength range: 760 to 1.00x10^6 nm,spase
inner,The region of the heliosphere extending radially outward from the solar coronal base to just inside 1 AU.,spase
inspection,Determined by the analysis or assessment performed by a person.,spase
instrument lead,An individual who is the designated leader of an instrument or intrument package.,spase
instrument mode,An indication of a state (mode) in which the instrument is operating. How a mode influences the interpretation and representation of data is described in instrument related documentation.,spase
instrument scientist,A scientist associated with a science instrument team with special familiarity and expertise on specific aspects of the design and operations of the instrument and the responsibility of ensuring the instrument's measurement capability.,spase
instrument status,A quantity directly related to the operation or function of an instrument.,spase
instrument type,A characterization of an integrated collection of software and hardware containing one or more sensors and associated controls used to produce data on an environment.,spase
integral,A flux measurement in a broad range of energy and solid angle.,spase
intensity,The measurement of radiant or wave energy per unit detector area per unit bandwidth per unit solid angle per unit time.,spase
interferometer,An instrument to study the properties of two or more waves from the pattern of interference created by their superposition.,spase
interior,The region inside the body which is not visible from outside the body.,spase
interplanetary shock,"A shock propagating generally anti-sunward through the slower solar wind, often seen in front of CME-associated plasma clouds.",spase
interstellar,The region between stars outside of the star's heliopause.,spase
ion,An atom that has acquired a net electric charge by gaining or losing one or more electrons.(Note: Z>2),spase
ion chamber,A device in which the collected electrical charge from ionization in a gas-filled cavity is taken to be the proportion to some parameter (e.g. dose or exposure) of radiation field,spase
ion composition,"In situ measurements of the relative flux or density of electrically charged particles in the space environment. May give simple fluxes, but full distribution functions are sometimes measured.",spase
ion drift,"A device which measures the current produced by the displacement of ambient ions on a grid, thereby allowing the determination of the ion trajectory and velocity.",spase
ion gauge,"A device which measures low-pressure or vacuum neutral gas with pressures ranging from 10e-3 Torr to 10e?10 Torr. An ion gauge is an electronic amplifying vacuum tube consisting of three electrodes inside an evacuated glass envelope, with the filament being the cathode.",spase
irradiance,"Irradiance - A radiometric term for the power of electromagnetic radiation at a surface, per unit area. ""Irradiance"" is used when the electromagnetic radiation is incident on the surface.  Irradiance data may be reported in any units (i.e. counts/s) due to, for example, being at a particular wavelength, or to being a not-fully-calibrated relative measurement.",spase
j,"Projection of a vector along the second named axis of a coordinate system. Typically the Y axis, but could be the T axis for an RTN coordinate system.",spase
j2000,"An astronomical coordinate system which uses the mean equator and equinox of Julian date 2451545.0 TT (Terrestrial Time), or January 1, 2000, noon TT. (aka J2000) to define a celestial reference frame.",spase
jk,A measure of the length of a position or measured vector projected into the j-k (typically Y-Z) plane of the coordinate system.,spase
jpeg,A binary format for still images defined by the Joint Photographic Experts Group,spase
jsm,"Jovian Solar Magnetospheric - A coordinate system related to Jupiter where the X axis is from Jupiter to Sun, Z axis is northward in a plane containing the X axis and the Jovian dipole axis.",spase
jso,"Jovian Solar Orbital - A coordinate system related to Jupiter where X anti-sunward, Y along the orbital velocity direction.",spase
json,Javascript Object Notation - A lightweight data-interchange format.,spase
k,"Projection of a vector along the third named axis of a coordinate system. Typically the Z axis, but could be the N axis for an RTN coordinate system.",spase
k7699,A spectrum with a wavelength range centred at 769.9 nm. VSO nickname: K-7699 dopplergram with a range of 769.8 nm to 770.0 nm.,spase
ksm,"Kronian Solar Magnetospheric - A coordinate system related to Saturn where the X axis is anti-sunward, Z axis is northward in a plane containing the X axis and the Kronian dipole axis.",spase
kso,"Kronian Solar Orbital - A coordinate system related to Saturn where X is anti-sunward, Y along the orbital velocity direction.",spase
langmuir probe,A monopole antenna associated with an instrument. The instrument applies a potential to the antenna which is swept to determine the voltage/current characteristic. This provides information about the plasma surrounding the probe and spacecraft.,spase
layout,The structured arrangement of items in a collection.,spase
lbh band,Lyman-Birge-Hopfield band in the far ultraviolet range with wavelength range of 140nm to 170 nm.,spase
lgm,"Local Geomagnetic - A coordinate system used mainly for Earth surface or near Earth surface magnetic field data. X axis northward from observation point in a geographic meridian. Z axis downward towards Earth's center. In this system, H (total horizontal component) = SQRT (Bx^2 + By^2) and D (declination angle) = arctan (By/Bx)",spase
linear,Polarization where the E-field vector is confined to a given plane,spase
linear scale,Intervals which are equally spaced.,spase
line depth,The measure of the amount of absorption below the continuum (depth) in a particular wavelength or frequency in an absorption spectrum.,spase
line of sight,"The line of sight is the line that connects the observer with the observed object. This expression is often used with measurements of Doppler velocity and magnetic field in magnetograms, where only the component of the vector field directed along the line of sight is measured.",spase
listing,A listing of files - either through FTP or HTTP.,spase
log scale,Intervals which are spaced proportionally to the logarithms of the values being represented.,spase
long wire,"A dipole antenna whose active (sensor) elements are two wires deployed in the equatorial plane on opposite sides of a spinning spacecraft, and whose length is several times greater than the spacecraft diameter.",spase
lower hybrid frequency,"Lower hybrid oscillations involve longitudinal motions of electrons and ions in a magnetized plasma. The propagation of lower hybrid waves must be close to perpendicular to the background magnetic field in so that electrons cannot move along field lines thus preventing wave growth. The lower hybrid frequency, &Phi;<sub>LH</sub>, can be calculated by using &Phi;<sub>LH</sub> = [(&Omega;<sub>ce</sub>&Omega;<sub>ci</sub>)<sup>-1</sup> + &Phi;<sub>pi</sub><sup>-2</sup>]<sup>-1/2</sup> where &Omega;<sub>ce</sub> and &Omega;<sub>ci</sub> are the electron and ion cyclotron frequencies, respectively, and Phi;<sub>LH</sub> is the ion plasma frequency.",spase
l shell,"The L-Shell is the magnetic equatorial radius (in units of planetary radii) of a dipole magnetic field line. For instance, if the L-shell value equals 6 say at Earth, the magnetic field lines cross the magnetic equator at six Earth radii. The L-shell concept can be applied generally to any magnetized planet or satellite with a dominant dipolar magnetic field moment.",spase
mag,"Geomagnetic - geocentric. Z axis is parallel to the geomagnetic dipole axis, positive north. X is in the plane defined by the Z axis and the Earth's rotation axis. If N is a unit vector from the Earth's center to the north geographic pole, the signs of the X and Y axes are given by Y = N x Z, X = Y x Z.. See Russell, 1971, and <http://cdpp.cnes.fr/00428.pdf>",spase
magnetic,The physical attribute attributed to a magnet or its equivalent.,spase
magnetic cloud,"A transient event observed in the solar wind characterized as a region of enhanced magnetic field strength, smooth rotation of the magnetic field vector and low proton density and temperature.",spase
magnetic moment,"A constant of motion related to the gyromotion of a particle in a magnetic field that is either static or slowly varying with respect to the gyroperiod. The magnetic moment is usually denoted by using the lower case Greek letter for mu, 5, and can be calculated by using 5 = m u^2/2B where m is the particle mass, u is the velocity of the particle perpendicular to the  constant or average magnetic field direction, and B is the magnitude of the magnetic field strength.  ",spase
magnetogram,"Measurements of the vector or line-of-sight magnetic field determined from remote sensing measurements of the detailed structure of spectral lines, including their splitting and polarization. (""Magnetogram."")",spase
magnetograph,"A special type of magnetometer that records a time plot of the local magnetic field near the instrument; or a telescope capable of determining the magnetic field strength and/or direction on a distant object such as the Sun, using the Zeeman splitting or other spectral signatures of magnetization.",spase
magnetometer,An instrument which measures the ambient magnetic field.,spase
magnetopause crossing,A crossing of the interface between the shocked solar wind in the magnetosheath and the magnetic field and plasma in the magnetosphere.,spase
magnetosonic mach number,The ratio of the velocity of fast mode waves to the Alfven velocity.,spase
magnitude,A measure of the strength of a vector quantity or length of its representational vector.,spase
main,"The region of the magnetosphere where the magnetic field lines are closed, but does not include the gaseous region gravitationally bound to the body.",spase
mass,"The measure of inertia (mass) of individual objects (e.g., aerosols).",spase
mass density,The mass of particles per unit volume.,spase
mass number,The total number of protons and neutrons (together known as nucleons) in an atomic nucleus.,spase
mass per charge,"The mass, m, per unit net charge, q, that is m/q, for an electron or an ionized atom, molecule, or dust particle.",spase
mass spectrometer,An instrument which distinguishes chemical species in terms of their different isotopic masses.,spase
matlab_4,"MATLAB Workspace save set, version 4. MAT-files are double-precision, binary, MATLAB format files. MATLAB is a proprietary product of The MathWorks.",spase
matlab_6,"MATLAB Workspace save set, version 6. MAT-files are double-precision, binary, MATLAB format files. MATLAB is a proprietary product of The MathWorks.",spase
matlab_7,"MATLAB Workspace save set, version 7. MAT-files are double-precision, binary, MATLAB format files. Version 7 includes data compression and Unicode encoding. MATLAB is a proprietary product of The MathWorks.",spase
maximum,The largest value of a batch or sample or the upper bound of a probability distribution.,spase
md5,Message Digest 5 (MD5) is a 128-bit message digest algorithm created in 1991 by Professor Ronald Rivest.,spase
measurement type,"The enumeration of the specific measurement target (e.g., energetic particles, ion composition, etc.), method of measurement (e.g., Interferometry), or the particular compilation of measurements (e.g., a composite dataset consisting of measurements from multiple instruments or platforms, such as Dopplergram, keogram, ElectronColumnDensity (TEC), etc.) that reflect a richer context (e.g., structure and dynamics) of the observational target.",spase
median,The measure of central tendency of a set of n. values computed by ordering the values and taking the value at position (n.  + 1) / 2 when n. is odd or the arithmetic mean of the values at positions n.  / 2 and (n. / 2) + 1 when n.  is even.,spase
mercury,The first planet from the sun in our solar system.,spase
metadata contact,An individual who can affect a change in the metadata describing a resource.,spase
mfa,"Magnetic Field Aligned - A coordinate system spacecraft-centered system with Z in the direction of the ambient magnetic field vector. X is in the plane defined by Z and the spacecraft-Sun line, positive sunward. See <http://cdpp.cnes.fr/00428.pdf>",spase
mhd,Hydrodynamic waves in a magnetized plasma in which the background magnetic field plays a key role in controlling the wave propagation characteristics.,spase
microchannel plate,"An instrument used for the detection of elementary particles, ions, ultraviolet rays and soft X-rays constructed from very thin conductive glass capillaries.",spase
microfiche,A sheet of microfilm on which many pages of material have been photographed; a magnification system is used to read the material.,spase
microfilm,Film rolls on which materials are photographed at greatly reduced size; a magnification system is used to read the material.,spase
microwave,Photons with a wavelength range: 1.00x10^6 to 1.50x10^7 nm,spase
mid latitude region,"When considering the case of the Earth, the mid-latitude region typically refers to two latitudinal bands, one in the northern hemisphere and the other in the southern hemisphere extending from about 23 degrees to 50 degrees. The concept of mid-latitude regions does not apply to all bodies in the solar system and different latitudinal ranges would apply for each body case by case. The mid-latitude regions may be defined by using either planetographic or magnetic coordinates if the magnetic dipole is closely aligned with the spin axis of a magnetized body. Ground magnetometers located at mid latitude on the Earth are well positioned to measure magnetic storm-time ring current variations.",spase
mimas,The smallest and least massive of the round moons of Saturn.,spase
minimum,The smallest value of a batch or sample or the lower bound of a probability distribution.,spase
miranda,The smallest and innermost round moon of Uranus.,spase
mirror url,A Uniform Resource Locator (URL) to an alternate location of a resource.,spase
mission manager,A Mission Manager is a rolename used by the ESA. The Mission Manager corresponds to the Project Manager role used by NASA but the Mission Manager role only begins after the launch of the mission.,spase
mission principal investigator,An individual who is the administrative and scientific lead for a mission.,spase
mixed quantity,A characterization of the combined attributes of a quantity.,spase
mode amplitude,In helioseismology the magnitude of oscillation of waves of a particular geometry.,spase
molecule,"A group of atoms so united and combined by chemical affinity that they form a complete, integrated whole, being the smallest portion of any particular compound that can exist in a free state",spase
moment,Parameters determined by integration over a distribution function convolved with a power of velocity.,spase
moon,The only natural satellite of the Earth.,spase
mpeg,A digital format for movies defined by the Motion Picture Experts Group,spase
mso,"Mars/Mercury Solar Orbital A coordinate system related to Mars or Mercury. A coordinate system where, depending on the body (Mars or Mercury), X is anti-sunward, Y along the orbital velocity direction.",spase
multispectral imager,An instrument which captures images at multiple spectral ranges.,spase
na d,A spectrum with a wavelength range of centered at 589.3 nm. VSO nickname: Na-D image with a range of 588.8 nm to 589.8 nm.,spase
ncar,"The National Center for Atmospheric Research (NCAR) format. A complete description of that standard is given in appendix C of the ""Report on Establishment & Operation of the Incoherent- Scatter Data Base"", dated August 23, 1984, obtainable from NCAR, P.O. Box 3000 Boulder, Colorado 80307-3000.",spase
near earth,The heliospheric region near the Earth which extends to and includes the area near the L1 and L2 Lagrange point.,spase
near surface,"The gaseous and possibly ionized environment of a body extending from the surface to some specified altitude. For the Earth, this altitude is 2000 km.",spase
net cdf,Unidata Program Center's Network Common Data Form (NetCDF). A self-describing portable data format for array-oriented data access. See <http://my.unidata.ucar.edu/content/software/netcdf>,spase
neutral atom imager,An instrument which measures the quantity and properties of neutral particles over a range of angles. Measured properties can include mass and energy.,spase
neutral atom images,Measurements of neutral atom fluxes as a function of look direction; often related to remote energetic charged particles that lose their charge through charge-exchange and then reach the detector on a line-of-sight trajectory.,spase
neutral gas,Measurements of neutral atomic and molecular components of a gas.,spase
neutral particle detector,An instrument which measures the quantity and properties of neutral particles. Measured properties can include mass and plasma bulk densities.,spase
neutron,"An elementary particle that has no net charge and is a constituent of atomic nuclei, and that has a mass slightly large than a proton (1.673 x 10^(-24) gram.)",spase
ni6768,A spectrum with a wavelength range centered at 676.8 nm. VSO nickname: Ni-6768 dopplergram with a range of of 676.7 nm to 676.9 nm.,spase
none,A lack or absence of anything.,spase
number density,The number of particles per unit volume.,spase
number flux,"The number of particles passing a unit area in unit time, possibly also per unit energy (or equivalent) and/or per unit look direction.",spase
oberon,"The second-largest and second most massive mon of Uranus, and the ninth most massive moon in the Solar System.",spase
observatory region,A spatial location distinguished by certain natural features or physical characteristics where an observatory is located.,spase
observed by,Detected or originating from another resource.,spase
observed region,"The portion of space measured by the instrument at the time of an observation. A region is distinguished by certain natural features or physical characteristics. It is the location of the observatory for in situ data, the location or region sensed by remote sensing observatories and the location-of-relevance for parameters that are derived from observational data.",spase
offline,Not directly accessible electronically. This includes resources which may to be moved to an on-line status in response to a given request.,spase
online,Directly accessible electronically.,spase
open,Access is granted to everyone.,spase
optical,Photons with a wavelength range: 380 to 760 nm,spase
orientation,  The specification of the directional alignment of an object or measurement in a reference coordinate system. The orientation such as a spacecraft spin axis attitude is usually expressed as one or more angles relative to the basis axes of some specified physical space usually together with the date/time of the observation.,spase
outer,The region of the heliosphere extending radially outward from just outside 1 AU to the heliospheric termination shock.,spase
overview,A web page that provides and overview of available data and links.,spase
parallel,Having the same direction as a given direction,spase
partially restricted,"Some portions of the resource have restricted access, the rest is open access. Typically this is for accumulating data collections where some data is under review before being publicly released. ",spase
particle correlator,An instrument which correlates particle flux to help identify wave/particle interactions.,spase
particle detector,An instrument which detects particle flux!!!,spase
particle quantity,A characterization of the physical properties of the particle.,spase
particle radius,The mean radius for a Gaussian distribution of particles with an axial ratio of 2 and a distribution width that varies as 0.5 radius. A value of zero means no cloud was detected.,spase
particle rigidity," The particle momentum per unit charge. The particle Rigidity, R, is equal to pc/Ze.",spase
particle type,A characterization of the kind of particle observed by the measurement.,spase
part of,A portion of a larger resource.,spase
passive,Movement or effect produced by outside influence. A passive measurement is one which does not produce a transmission or excitation as a part of the measurement cycle.,spase
pdf,A document expressed in the Portable Document Format (PDF) as defined by Adobe.,spase
