"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"fall wind","1","1","Semantic Web for Earth and Environment Technology Ontology","A wind that accelerates as it moves downslope because of its low temperature and greater density.","['fall wind']"
"fan-aspirated radiation shield","1","0","Global Change Master Directory (GCMD)","","['FAN-ASPIRATED RADIATION SHIELD']"
"fast auroral snapshot explorer","1","1","Global Change Master Directory (GCMD)","The Fast Auroral SnapshoT Explorer (FAST), the second mission in NASAs Small Explorer Satellite Program (SMEX), is a satellite designed to study Earths aurora. This highly successful spacecraft has helped scientists answer fundamental questions about the causes and makeup of the aurora. FAST was launched on August 21, 1996 from a Pegasus rocket into a highly elliptical orbit. It crosses Earths auroral zones (donut shaped regions centered on the poles) four times each orbit, and only collects high-resolution data (snapshots) while in those zones. It ventures high into the charged particle environment of the aurora to measure the electric and magnetic fields, plasma waves, energetic electrons and ions, ion mass composition, and thermal plasma density and temperature. The FAST instrument set consists of sixteen electrostatic analyzers, four electric field langmuir probes suspended on 30 m wire booms, two electric field langmuir probes on 3 m extendible booms, searchcoil and fluxgate magnetometers and a time-of-flight mass spectrometer. The science investigation makes extremely temporal and spatial resolution measurements of the auroral plasma at apogee altitude. The instrument hardware consists of the sensor assemblies and an instrument data processor. The instrument electronics include a 32-bit data processing unit that performs the science data processing and recording in a one gigabit, solid-state memory. The stored data are transferred to the ground at one of three selectable high data rates of 900 Kbps, 1.5 Mbps or 2.25 Mbps. The instruments weigh 51 kg; the total observatory mass is 191 kg. The FAST mission is in a 351 x 4175 km orbit with an 83? inclination. The FAST observatory is a 12 rpm, spin-stabilized spacecraft with its spin axis oriented parallel to the orbit axis. Spin rate and spin-axis orientation are maintained by two magnetic torquer coils, one spinning Sun sensor, one horizon crossing indicator and a spacecraft magnetometer. The Attitude Control System (ACS) provides closed-loop spin-rate control. Spin-axis precession is performed open loop and is closed via ground commands. After computation on the ground, attitude knowledge is accurate to within one degree. The body-mounted solar array contains 5.6 m2 of solar cells that can distribute 52 W of orbit average power to the spacecraft and instruments. The orbit average power consumption of the spacecraft hardware is 33 W. The instruments consume 19 W orbit average power, 39 W when operating. Instruments are frequently powered off in order to maintain a positive energy balance. The data system for the FAST mission consists of dual 8085, 8-bit spacecraft computers. The spacecraft computers perform health and safety functions, power distribution, data encoding/decoding and launch vehicle interface. A multi-element micropatch antenna mounted on a boom above the spacecraft supports ground communications. Commands are uplinked at 2 Kbps. Health and safety data is telemetered to the ground at 4 Kbps. A Transportable Orbital Tracking Station (TOTS) was placed in Alaska to collect real-time science telemetry while the spacecraft is passing through the northern aurora. TOTS is highly automated and portable; it has an 8 m antenna with 200 W of uplink power and can be packed for shipment in three ISO containers. The FAST instruments consist of: Electric Field Experiment: The electric field experiment is composed of three orthogonal boom pairs. Spherical sensors deployed on radial wire and axial stacer booms will provide information on the plasma density and electron temperature. Magnetic Field Experiment: The magnetic field experiment consists of two magnetometers mounted 180? apart on deployable graphite epoxy booms. The search coil magnetometer uses a three-axis sensor system to provide magnetic field data over the frequency range of 10 Hz to 2.5 kHz. The flux gate magnetometer is a three-axis system using high, stable, low noise, ring core sensors to provide magnetic field information for DC to 100 Hz. Time-of-Flight Energy Angle Mass Spectrograph (TEAMS): The TEAMS instrument is a high sensitivity, mass-resolving spectrometer that measures full three-dimension distribution functions of the major ion species with one spin of the spacecraft. The TEAMS experiment covers the core of all plasma distributions of importance in the auroral region. Electrostatic Analyzers (ESA): Sixteen ESAs configured in four stacks will be used for both electron and ion measurements. The four stacks are placed around the spacecraft such that the entire package is provided a full 360? field of view. The ESAs can provide a 64-step energy sweep, covering approximately 3 eV to 30 KeV up to 16 times per second. For more information, see: http://sprg.ssl.berkeley.edu/fast/ Group: Platform_Details Entry_ID: FAST Group: Platform_Identification Platform_Category: Solar/Space Observation Satellites Short_Name: FAST Long_Name: Fast Auroral Snapshot Explorer End_Group Group: Synonymous_Platform_Names Short_Name: Explorer 70 Short_Name: SMEX/FAST Short_Name: Small Explorer/FAST Short_Name: 24285 Short_Name: 1996-049A End_Group Group: Platform_Associated_Instruments Short_Name: MFS/FAST Short_Name: EFS/FAST Short_Name: ESA/FAST Short_Name: TEAMS End_Group Group: Orbit Orbit_Inclination: 83 degrees Period: 133 m Perigee: 350 km Apogee: 4175 km Orbit_Type: HEO > Highly Elliptical Orbit End_Group Online_Resource: http://sprg.ssl.berkeley.edu/fast/intro.html Sample_Image: http://sprg.ssl.berkeley.edu/fast/graphics/fast.gif Group: Platform_Logistics Launch_Date: 1996-08-21 Launch_Site: Vandenberg Air Force Base, USA Primary_Sponsor: NASA End_Group End_Group","['Fast Auroral Snapshot Explorer']"
"fast longwave and s hortwave radiative fluxes","1","1","Global Change Master Directory (GCMD)","The Fast Longwave And SHortwave Radiative Fluxes (FLASHFlux) project is based upon the algorithms developed for and data collected by the Clouds and the Earths Radiant Energy Systems (CERES) project. CERES is currently producing world-class climate data products derived from measurements taken aboard NASAs Terra and Aqua spacecrafts. While of exceptional fidelity, these data products require a considerable amount of processing to assure quality and verify accuracy and precision. The result is that CERES data are typically released more than six months after acquisition of the initial measurements. For climate studies, such delays are of little consequence especially considering the improved quality of the released data products. The FLASHFlux project was envisioned as a conduit whereby CERES data could be provided to the community within a week of the initial measurements, with the trade-off that some degree of fidelity would be exacted to gain speed.","['Fast Longwave And SHortwave Radiative Fluxes']"
"fast solar wind","1","0","Unified Astronomy Thesaurus (UAT)","","['Fast solar wind']"
"fast_auroral_snapsho t_explorer","1","0","HELIO Ontology","","['Fast_Auroral_SnapshoT_Explorer']"
"fatty acid desaturase","1","1","GCMD","Fatty acid desaturases are enzymes that introduce double bonds into fatty acyl chains. They are present in all groups of organisms, i.e., bacteria, fungi, plants and animals, and play a key role in the maintenance of the proper structure and functioning of biological membranes. The desaturases are characterized by the presence of three conserved histidine tracks which are presumed to compose the Fe-binding active centers of the enzymes. Recent findings on the structure and expression of different types of fatty acid desaturase in cyanobacteria, plants and animals are reviewed in this article. Roles of individual desaturases in temperature acclimation and principles of regulation of the desaturase genes are discussed.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> ECOSYSTEM FUNCTIONS -> FATTY ACID DESATURASE']"
"feature generalization services","1","1","GCMD","Service that reduces spatial variation in a feature collection to counteract the undesirable effects of scale reduction.","['EARTH SCIENCE SERVICES -> WEB SERVICES -> DATA PROCESSING SERVICES -> FEATURE GENERALIZATION SERVICES']"
"fire occurrence","1","1","GCMD","Ecosystems that depend on the recurrence of fire to maintain theexisting balance.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> FIRE ECOLOGY -> FIRE OCCURRENCE']"
"feature portrayal service","1","1","GCMD","Dynamically produces client-specified pictorial renderings in an image or graphics format of features and feature collections usually dynamically retrieved from a Web Feature Server (WFS).","['EARTH SCIENCE SERVICES -> WEB SERVICES -> DATA PROCESSING SERVICES -> FEATURE PORTRAYAL SERVICE']"
"feedback","1","0","SWEET","","['SystemPhenomena -> self regulation -> feedback']"
"field observations of sea spray, gas fluxes and whitecaps","1","1","Global Change Master Directory (GCMD)","Sea spray aerosol particles, generated primarily by the action of the wind on the ocean surface, make a major contribution to the atmospheric aerosol over the global oceans. Their ability to participate in heterogeneous atmospheric chemical processes and especially their activity as cloud condensation nuclei make them very important in global climate processes. Similarly, the air-sea fluxes of trace gases, are influenced by wind speed and whitecap processes. Summary Provided By: http://homepages.see.leeds.ac.uk/~lecimb/SOLAS/index.html","['Field Observations of Sea Spray, Gas Fluxes and Whitecaps']"
"field-aligned currents and current systems","1","0","AGU Index Terms","","['Field-aligned currents and current systems']"
"filament","1","0","SWEET","","['Phenomena -> stellar phenomena -> prominence -> filament']"
"finnish institute of marine research, ministry of transport and communications, finland","1","1","Global Change Master Directory (GCMD)","The Finnish Institute of Marine Research (FIMR) is a research institute under the Ministry of Transport and Communications Finland. It generates information in the sea sciences for the benefit of decision-makers and practical needs. The Institute was founded in 1918. The Finnish Institute of Marine Research pursues research in marine physics, biology and chemistry. The main research objects are the Baltic Sea and other polar seas. This governmental research institute is of service to the authorities, industry, commerce and private citizens. It actively participates in pertinent national and international collaboration. Website: http://www.fimr.fi/ [Summary provided by Finnish Institute of Marine Research]","['Finnish Institute of Marine Research, Ministry of Transport and Communications, Finland']"
"fire ecology","1","1","GCMD","Branch of ecology that focuses on the origins of wildfire and theirrelationship to the environment that surrounds it, both living and non-living.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> FIRE ECOLOGY']"
"fai (fast auroral imager) images the auroral emission in the near infrared (nir) and visible (vis) spectral range.","1","1","Global Change Master Directory (GCMD)","FAI was developed by a team of experts in partnership from the University of Calgary, Routes AstroEngineering, Burley Scientific, Keo Consultants Inc, and JENOPTIK Optical Systems, Inc. (Leroy Cogger). FAI images the auroral emission in the near infrared (NIR) and visible (VIS) spectral range. The major scientific objectives of the mission are associated with the Earths high latitude atmosphere and ionosphere. The first thrust is to investigate the outflow of plasma from the polar regions and the related processes of micro-scale ion acceleration and wave-particle interaction, and auroral excitation. The second thrust is the study of 3D ionospheric irregularities using both active and passive radio techniques. The third emphasis is on the escape of neutral particles from high latitudes caused by temperature enhancements as well as by non-thermal processes. 39) 40) While the spatial resolution capability for most auroral imagers over the past two decades has been of the order of tens of km, the need in the ePOP mission was for an order of magnitude improvement. Likewise, a similar improvement in repetition rate was required. The challenge was met by carefully selecting the spectral elements to image and by taking advantage of the best available technology within the constraint of a very limited budget. The instrument is a coaligned dual-head CCD imaging camera with detectors for NIR and narrow-band VIS (630 nm), intended to operate only over the polar regions of the orbit. The sensitivity of the cameras was maximized through the choice of a CCD detector and optics module. A thinned, backside-illuminated, high quantum efficiency and low noise CCD was selected, the E2V CCD67 in a 256 x 256 pixel array. The quantum efficiency is 0.8 at 630 nm. With two-stage thermoelectric cooling (TEC) of the AIMO (Asymmetric Inverted Mode Operation) device, the dark current can be kept insignificant for normal instrument operating temperatures. An f/4 telecentric lens system is being used in the optics unit with a 5:1 fiber-optic taper to provide an effective f-number of 0.8. Typically, FAI takes imagery at a rate of about 60 0.1 second exposures per minute with the NIR camera, and 1/2 second exposure per minute with the VIS camera.","['FAI (Fast Auroral Imager) images the auroral emission in the near infrared (NIR) and visible (VIS) spectral range.']"
"f mode","1","0","SWEET","","['Oscillation -> wave -> fluid wave -> gravity wave -> f mode | Oscillation -> wave -> surface wave -> f mode | Phenomena -> stellar phenomena -> solar phenomena -> f mode']"
"f lux oceaniques restitues par bilan d'e nergie a la surfa ce","1","1","Global Change Master Directory (GCMD)","The FLORENCE program (FLux Oceaniques Restitues par bilan dENergie a la surfaCE, or ocean fluxes restored from surface energy budgets) involved determination of fluxes from SST observations combined with stress and radiative flux estimates from satellite data alone. The FLORENCE method consists of the inverse of a three-dimensional oceanic mixed-layer model in order to infer the net surface heat flux that yields an exact simulation of the observed SST, the model being otherwise forced by wind stress data. Determination of turbulent fluxes along the trajectories of drifting buoys equipped with thermistor chains allows to adjust the FLORENCE technique and gives some insight on flux variability. The use of such buoys in ocean-atmosphere experiments allows to retrieve fluxes under various weather conditions and to compare air-sea fluxes evaluations with direct measurements performed by ship, aircraft, and moored buoys. Four Marisonde GT drifters, using Argos for location and data collection, were released during the TOGA COARE Intensive Observing Period. On an hourly basis, the buoys measured SST, wind speed, wind direction, and water temperature down to a depth of 150 meters nominal (15-m intervals). Atmospheric pressure (one-minute sampling) was measured at the same time every three hours (excepted on buoy 15500). Summary provided by http://dss.ucar.edu/datasets/ds606.4/docs/marisonde.readme","[""FLux Oceaniques Restitues par bilan d'ENergie a la surfaCE""]"
"extreme ultraviolet variability experiment on solar dynamics observatory","1","1","Global Change Master Directory (GCMD)","[Source: Extreme ultraviolet Variabilty Experiment (EVE) team home page, http://lasp.colorado.edu/eve/ ] The Extreme ultraviolet Variabilty Experiment (EVE) is designed to measure the solar extreme ultraviolet (EUV) irradiance. The EUV radiation includes the 0.1-105 nm range, which provides the majority of the energy for heating Earths thermosphere and creating Earths ionosphere (ionized plasma). This wide spectral range requies the use of multiple channels. Some key requirements for EVE are to measure the solar EUV irradiance spectrum with 0.1 nm spectral resolution and with 20 sec cadence. These drive the EVE design to include grating spectrographs with array detectors so that all EUV wavelengths can be measured simultaneously. Another key requirement for EVE is to measure the EUV radiation with an accuracy of 25% or better, thus on-board calibration channels are included to go with underflight calibration experiments to be conducted during the SDO mission. Group: Instrument_Details Entry_ID: EVE-SDO Group: Instrument_Identification Instrument_Category: Solar/Space Observing Instruments Instrument_Class: Ultraviolet Instruments Short_Name: EVE-SDO Long_Name: Extreme ultraviolet Variability Experiment on Solar Dynamics Observatory End_Group Group: Associated_Platforms Short_Name: SDO End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Ultraviolet Spectral_Frequency_Coverage_Range: 0.1 nm -105 nm End_Group Online_Resource: http://lasp.colorado.edu/eve/ Online_Resource: http://sdo.gsfc.nasa.gov/mission/instruments.php Sample_Image: http://lasp.colorado.edu/eve/images/instrument/EVE_FrontOpen_Labels_sm.jpg Creation_Date: 2009-04-24 Group: Instrument_Logistics Instrument_Owner: USA/NASA End_Group End_Group","['Extreme ultraviolet Variability Experiment on Solar Dynamics Observatory']"
"exoplanet dynamics","1","0","Unified Astronomy Thesaurus (UAT)","","['Exoplanet dynamics']"
"exotic species","1","1","GCMD","Exotic species are those that are introduced to a geographical area wherethey are not native.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> EXOTIC SPECIES']"
"expansion","1","0","SWEET","","['Process -> physical process -> expansion']"
"expendable current profiler","1","1","Global Change Master Directory (GCMD)","The Expendable Current Profiler provides real-time profiles of current speed, direction, and temperature to depths of up to 1500 meters. [Summary provided by Sippican Inc.]","['Expendable Current Profiler']"
"exposure assessment tools and models, office of pollution prevention and toxics, u.s. environmental protection agency","1","1","Global Change Master Directory (GCMD)","The Office of Pollution Prevention and Toxics (OPPT) has developed several exposure assessment methods, databases, and predictive models to help in evaluating: -what happens to chemicals when they are used and released to the environment; and -how workers, the general public, consumers and the aquatic ecosystems may be exposed to chemicals. These models and tools are intended to be used by scientists and engineers familiar with exposure assessment principles. They may be helpful when appropriate monitoring data are not available or need to be supplemented, and in: -considering potential exposure when designing and selecting products and processes; -and evaluating pollution prevention opportunities. The results of an exposure assessment are generally combined with a hazard assessment (potential for a chemical to cause adverse health or environmental effects). When combined, this information is used to evaluate whether there is a potential risk that requires Agency attention.","['Exposure Assessment Tools and Models, Office of Pollution Prevention and Toxics, U.S. Environmental Protection Agency']"
"extended radiation sources","1","0","Unified Astronomy Thesaurus (UAT)","","['Extended radiation sources']"
"extension event","1","1","Semantic Web for Earth and Environment Technology Ontology","An extension event occurs when a seismic event causes an extension in the crust. [Wikipedia]","['extension event']"
"extinction rate","1","1","GCMD","Extinction is the death of all individuals of a particular species.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> EXTINCTION RATE']"
"extrasolar radiation","1","0","Unified Astronomy Thesaurus (UAT)","","['Extrasolar radiation']"
"extratropical cyclone frequency","1","1","GCMD","Number of extratropical cyclones per unit time.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> EXTRATROPICAL CYCLONES -> EXTRATROPICAL CYCLONE FREQUENCY']"
"extratropical cyclone motion","1","1","GCMD","Change in Extratropical Cyclone position with respect to time.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> EXTRATROPICAL CYCLONES -> EXTRATROPICAL CYCLONE MOTION']"
"extratropical cyclone track","1","1","GCMD","Extratropical Cyclone path, route, or course.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> EXTRATROPICAL CYCLONES -> EXTRATROPICAL CYCLONE TRACK']"
"extratropical cyclones","1","1","GCMD","(Sometimes called extratropical low, extratropical storm.) Any cyclonic-scale storm that is not a tropical cyclone, usually referring only to the migratory frontal cyclones of middle and high latitudes.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> EXTRATROPICAL CYCLONES']"
"extreme event","1","0","Semantic Web for Earth and Environment Technology Ontology","","['extreme event']"
"extreme events","1","0","AGU Index Terms","","['Extreme events']"
"fire models","1","1","GCMD","Calculation method that describes a system or process related to fire development, including fire dynamics and the effects of fire.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> FIRE ECOLOGY -> FIRE MODELS']"
"fire regime","1","1","GCMD","Fire-adapted ecosystems are characterized by a ""fire regime"" which describes the frequency at which fires in a given forest type typically burn, the season(s) in which they burn, and the amount of vegetation killed.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> FIRE ECOLOGY -> FIRE REGIME']"
"food irradiation","1","1","GEMET","The most recent addition to food preservation technologies is the use of ionizing radiation, which has some distinct advantages over conventional methods. With irradiation, foods can be treated after packaging, thus eliminating post-processing contamination. In addition, foods are preserved in a fresh state and can be kept longer without noticeable loss of quality. Food irradiation leaves no residues, and changes in nutritional value due to irradiation are comparable with those produced by other processes. Irradiation is the process of applying high energy to a material, such as food, to sterilize or extend its shelf-life by killing microorganisms, insects and other pests residing on it. Sources of ionizing radiation that have been used include gamma rays, electron beams and X-rays. Gamma rays are produced by radioactive isotopes such as Cobalt-60. Electron beams are produced by linear accelerators, which themselves are powered by electricity. The dose applied to a product is the most important factor of the process. At high doses, food is essentially sterilized, just as occurs in canning. Products so treated can be stored at room temperature almost indefinitely. Controversial and banned in some countries.","['food irradiation']"
"flux correction","1","0","Semantic Web for Earth and Environment Technology Ontology","","['flux correction']"
"flooding","1","1","GCMD","An overflow of an expanse of water that submerges land.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> FLOODING']"
"floodplain dynamics","1","0","AGU Index Terms","","['Floodplain dynamics']"
"floods","1","1","GCMD","The condition that occurs when water overflows the natural orartificial confines of a stream or other body of water, or accumulates bydrainage over low-lying areas.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> FLOODS']"
"flow velocity","1","2","GCMD","Flow velocity is the speed at which a fluid flows. ;; The speed at which a fluid flows.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> DISCHARGE/FLOW -> FLOW VELOCITY', 'EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> SUBSURFACE FLOW -> FLOW VELOCITY']"
"fluid phenomena","1","0","Semantic Web for Earth and Environment Technology Ontology","","['fluid phenomena']"
"fluvial landforms","1","2","GCMD","'Fluvial landforms' are features on the Earth's surface produced by the action, i.e. erosion and deposition, of a stream or river and include such landforms as bars, levees, braided and meandering channels, and alluvial fans. 'Fluvial processes' are those processes included in the action of running water in a stream or river ;; 'Fluvial landforms' are features on the Earth's surface produced by the action,i.e. erosion and deposition, of a stream or river and include such landforms asbars, levees, braided and meandering channels, and alluvial fans. 'Fluvialprocesses' are those processes included in the action of running water in astream or river","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS']"
"flux calibration","1","1","Unified Astronomy Thesaurus (UAT)","The calibration of the flux received by a detector in terms of absolute units.","['Flux calibration']"
"flux over snow surfaces","1","1","Global Change Master Directory (GCMD)","This document describes the first phase of the FLOSS project, which studied the surface meteorology of snow-covered rangeland in the North Park region of Colorado, near Walden, from December 2001 to March 2002. The second phase of that project, FLOSSII, is described in a separate document. If you reached this page from a search engine, click here to see the full report, with frames. This document is a standard product of NCAR/ATD/RTF and gives an overview of the measurements taken using the Integrated Surface Flux Facility (ISFF) and conditions during the FLOSS field experiment. Summary provided by: http://www.eol.ucar.edu/rtf/projects/FLOSS/","['FLUX OVER SNOW SURFACES']"
"firn formation","1","1","GCMD","The formation process of firn, a partially compacted névé, which is a type of snow that has been left over from past seasons and has been recrystallized into a substance denser than névé. It is ice that is at an intermediate stage between snow and glacial ice.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> FIRN FORMATION']"
"fluxgate magnetometers","1","0","Global Change Master Directory (GCMD)","","['FLUXGATE MAGNETOMETERS']"
"fluxgate sensor","1","0","HELIO Ontology","","['FluxgateSensor']"
"fluxnet","1","1","Global Change Master Directory (GCMD)","FLUXNET is a global network of micrometeorological tower sites that use eddy covariance methods to measure the exchanges of carbon dioxide, water vapor, and energy between terrestrial ecosystems and the atmosphere. More than 500 tower sites around the world are operating on a long-term basis. The overarching goal of the FLUXNET data collection at ORNL DAAC is to provide information for validating remote sensing products for net primary productivity (npp), evaporation, and energy absorption.","['Fluxnet']"
"fluxnet-canada","1","1","Global Change Master Directory (GCMD)","Fluxnet-Canada: A national research network bringing together university and government scientists to study the influence of climate and disturbance on carbon cycling along an east west transect of Canadian forest and peat land ecosystems. Fluxnet-Canada is comprised of seven flux stations having at least two flux towers making eddy covariance measurements. Stable isotope measurements across the transect and model evaluation at different temporal and spatial scales are key network activities. fluxnet-canada is part of the global fluxnet network consisting of over 150 sites where carbon, water and energy fluxes are measured. Website: http://www.fluxnet-canada.ca/ [Summary provided by Fluxnet-Canada.]","['Fluxnet-Canada']"
"fog","1","1","GCMD","A visible aggregate of minute water droplets suspended in the atmosphereclose to the ground; a cloud in contact with the earth's surface.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> FOG']"
"fog wind","1","1","Semantic Web for Earth and Environment Technology Ontology","The humid east wind that crosses the divide of the Andes east of Lake Titicaca and descends on the west in violent squalls; probably the same as puelche.","['fog wind']"
"folds","1","1","GCMD","A geological fold occurs when one or a stack of originally flat and planar surfaces, such as sedimentary strata, are bent or curved as a result of permanent deformation.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> TECTONIC LANDFORMS -> FOLDS']"
"flood prevention","1","1","GEMET","preventing damage caused by floods by avoiding the construction of houses and industries in present and future flood-prone areas, as well as by adapting future developments to the risk of flooding and by promoting appropriate land-use, agricultural and forestry practices","['flood prevention']"
"flood plain","1","1","GCMD","Flat or nearly flat land adjacent to a stream or river that experiences occasional or periodic flooding.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> FLOOD PLAIN']"
"flood levels","1","1","GCMD","Average height flood water reaches.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> FLOODS -> FLOOD LEVELS']"
"flood frequency","1","1","GCMD","Flood frequency is the concept of the probable frequency of occurrence of a given flood.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> FLOODS -> FLOOD FREQUENCY']"
"first freeze/frost date","1","1","GCMD","First frost is first occurrence of 36°F temperature, first freeze was based on the first occurrence of 32°F temperature.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> FREEZE/FROST -> FIRST FREEZE/FROST DATE']"
"first freeze/frost probability","1","1","GCMD","The freeze/frost probability levels represent the risk with regard to meeting or falling below a certain temperature threshold by a specific date, or within a specified number of days. For example, suppose a 90 percent probability level for the spring season is computed to be March 1 at the 32 degree threshold. This means that nine years out of ten a temperature as cold or colder than 32 degrees is expected to occur later than March 1 during the spring season. For the fall season, the probability level represents the chance of having a temperature as cold or colder earlier than the computed date. The freeze-free probability level indicates the chance of having a longer freeze-free period than the computed number of days. The methods used to compute the freeze probabilities come from two data distributions: a discrete freeze or no-freeze distribution, where a no-freeze annual season is one in which only one or no freeze occurs; and a continuous one of freeze dates for the years of freeze occurrence, where at least two distinct freeze dates occur in a year.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> FREEZE/FROST -> FIRST FREEZE/FROST PROBABILITY']"
"first moderate freeze/frost date","1","0","GCMD","","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> FREEZE/FROST -> FIRST MODERATE FREEZE/FROST DATE']"
"fjords","1","3","GCMD","Are formed when a glacier cuts a U-shaped valley by abrasion of the surrounding bedrock. Many such valleys were formed during the recent ice age. Glacial melting is accompanied by rebound of Earth's crust as the ice load and eroded sediment is removed (also called isostasy or glacial rebound). ;; A deep narrow estuary in a valley originally cut by a glacier. ;; Formed when a glacier cuts a U-shaped valley by abrasion of the surrounding bedrock. Many such valleys were formed during the recent ice age. Glacial melting is accompanied by rebound of Earth's crust as the ice load and eroded sediment is removed (also called isostasy or glacial rebound).","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL LANDFORMS -> FJORDS', 'EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> FJORDS', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL LANDFORMS -> FJORDS']"
"fl_peak flux","1","1","Heliophysics Events Knowledgebase","Flux at peak time","['FL_PeakFlux']"
"fl_peak flux unit","1","1","Heliophysics Events Knowledgebase","Peak flux unit (e.g. erg/cm^2/s)","['FL_PeakFluxUnit']"
"flame-ionization detector","1","1","Global Change Master Directory (GCMD)","FLAME-INONIZATION DETECTORS are types of detectors used in gas chromatography; Individual components of a gas mixture elute from the column and are burned in a hydrogen flame, where a large quantity of ions are produced. The ions are vented through a collector tube, which is maintained at some electrical potential so that a current passes through the ions produced in the flame to the collector. The current measured is proportional to the quantity of eluted compound. The technique has found the most for the measurement of organic compounds (hydrocarbons) in the atmosphere.","['FLAME-IONIZATION DETECTOR']"
"flank eruption","1","1","Semantic Web for Earth and Environment Technology Ontology","An eruption from the side of a volcano (in contrast to a summit eruption.)","['flank eruption']"
