term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs
geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geochronology,
geodesy and gravity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geodesy and gravity,
geographic location,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geographic location,
geohealth,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geohealth,
geological,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geological,
geomagnetic excursions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomagnetic excursions,
geomagnetically induced currents,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomagnetically induced currents,
geomagnetism and paleomagnetism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomagnetism and paleomagnetism,
geomechanics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomechanics,
geomedicine,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomedicine,
geomicrobiology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomicrobiology,
geomorphological geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomorphological geochronology,
geomorphology and weathering,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomorphology and weathering,
geomorphology: fluvial,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomorphology: fluvial,
geomorphology: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomorphology: general,
geomorphology: hillslope,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geomorphology: hillslope,
geopotential theory and determination,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geopotential theory and determination,
geoscience education research,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geoscience education research,
geospatial,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,geospatial,
gis science,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,gis science,
glacial,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,glacial,
global change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,global change,
global change from geodesy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,global change from geodesy,
global climate models,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,global climate models,
gravitational fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,gravitational fields,
gravity and isostasy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,gravity and isostasy,
gravity anomalies and earth structure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,gravity anomalies and earth structure,
gravity methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,gravity methods,
groundwater hydraulics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,groundwater hydraulics,
groundwater hydrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,groundwater hydrology,
groundwater transport,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,groundwater transport,
groundwater/surface water interaction,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,groundwater/surface water interaction,
guided waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,guided waves,
hardware solutions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hardware solutions,
health and radiation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,health and radiation,
health impact,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,health impact,
heat generation and transport,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,heat generation and transport,
heliopause and solar wind termination,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,heliopause and solar wind termination,
heliosphere/interstellar medium interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,heliosphere/interstellar medium interactions,
high strain deformation zones,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,high strain deformation zones,
high-performance computing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,high-performance computing,
high-pressure behavior,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,high-pressure behavior,
higher trophic levels,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,higher trophic levels,
history of geophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,history of geophysics,
"hotspots, large igneous provinces, and flood basalt volcanism",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"hotspots, large igneous provinces, and flood basalt volcanism",
human impact,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,human impact,
human impacts,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,human impacts,
hydroclimatology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydroclimatology,
hydrodynamic modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrodynamic modeling,
hydrogeophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrogeophysics,
hydrography and tracers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrography and tracers,
hydrologic scaling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrologic scaling,
hydrological,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrological,
hydrological cycles and budgets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrological cycles and budgets,
hydrology and fluvial processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrology and fluvial processes,
hydrothermal systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrothermal systems,
hydrothermal systems and weathering on other planets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hydrothermal systems and weathering on other planets,
hypoxic environments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,hypoxic environments,
ice cores,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ice cores,
ice mechanics and air/sea/ice exchange processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ice mechanics and air/sea/ice exchange processes,
ice streams,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ice streams,
ices,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ices,
idealized model,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,idealized model,
igneous petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,igneous petrology,
impact phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,impact phenomena,
"impact phenomena, cratering",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"impact phenomena, cratering",
impacts of climate change: agricultural health,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,impacts of climate change: agricultural health,
impacts of climate change: ecosystem health,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,impacts of climate change: ecosystem health,
"impacts of climate change: human health,",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"impacts of climate change: human health,",
impacts of global change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,impacts of global change,
impacts on humans,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,impacts on humans,
impacts on technological systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,impacts on technological systems,
informal education,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,informal education,
information related to geologic time,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,information related to geologic time,
insolation forcing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,insolation forcing,
instability analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,instability analysis,
institutions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,institutions,
instructional tools,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,instructional tools,
instruments and techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,instruments and techniques,
instruments and techniques: modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,instruments and techniques: modeling,
instruments and techniques: monitoring,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,instruments and techniques: monitoring,
instruments useful in three or more fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,instruments useful in three or more fields,
"instruments, sensors, and techniques",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"instruments, sensors, and techniques",
integrations of techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,integrations of techniques,
interaction between science and disaster management authorities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interaction between science and disaster management authorities,
interactions with particles and fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interactions with particles and fields,
interactions with solar wind plasma and fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interactions with solar wind plasma and fields,
interferometry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interferometry,
interglacial,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interglacial,
interhemispheric phasing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interhemispheric phasing,
interiors,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interiors,
internal and inertial waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,internal and inertial waves,
international collaboration,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,international collaboration,
international organizations and natural disasters,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,international organizations and natural disasters,
interoperability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interoperability,
interplanetary dust,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interplanetary dust,
interplanetary magnetic fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interplanetary magnetic fields,
interplanetary physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interplanetary physics,
interplanetary shocks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interplanetary shocks,
interstellar gas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,interstellar gas,
intra-plate processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,intra-plate processes,
intrusive structures and rocks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,intrusive structures and rocks,
inverse scattering,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,inverse scattering,
inverse theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,inverse theory,
ion chemistry and composition,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ion chemistry and composition,
ion chemistry of the atmosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ion chemistry of the atmosphere,
ionization processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionization processes,
ionosphere/atmosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionosphere/atmosphere interactions,
ionosphere/magnetosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionosphere/magnetosphere interactions,
ionospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheres,
ionospheric disturbances,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric disturbances,
ionospheric dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric dynamics,
ionospheric effects on radio waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric effects on radio waves,
ionospheric irregularities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric irregularities,
ionospheric physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric physics,
ionospheric propagation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric propagation,
ionospheric storms,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ionospheric storms,
isotopic composition and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,isotopic composition and chemistry,
isotopic disequilibrium dating,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,isotopic disequilibrium dating,
isotopic stage,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,isotopic stage,
jovian satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,jovian satellites,
jurassic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,jurassic,
kinematics of crustal and mantle deformation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,kinematics of crustal and mantle deformation,
kinetic and mhd theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,kinetic and mhd theory,
kinetic waves and instabilities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,kinetic waves and instabilities,
knowledge representation and knowledge bases,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,knowledge representation and knowledge bases,
kuiper belt objects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,kuiper belt objects,
laboratory studies and experimental techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,laboratory studies and experimental techniques,
lakes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,lakes,
land cover change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,land cover change,
land/atmosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,land/atmosphere interactions,
large bodies of water,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,large bodies of water,
large eddy simulation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,large eddy simulation,
lava rheology and morphology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,lava rheology and morphology,
layered magma chambers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,layered magma chambers,
legislation and regulations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,legislation and regulations,
life in extreme environments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,life in extreme environments,
lithospheric flexure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,lithospheric flexure,
littoral processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,littoral processes,
local crustal structure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,local crustal structure,
lunar and planetary geodesy and gravity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,lunar and planetary geodesy and gravity,
machine learning,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,machine learning,
machine-to-machine communication,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,machine-to-machine communication,
macro- and micropaleontology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,macro- and micropaleontology,
magma chamber processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magma chamber processes,
magma genesis and partial melting,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magma genesis and partial melting,
magma migration and fragmentation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magma migration and fragmentation,
magnetic and electrical methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic and electrical methods,
magnetic and electrical properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic and electrical properties,
magnetic anomalies: modeling and interpretation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic anomalies: modeling and interpretation,
magnetic fabrics and anisotropy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic fabrics and anisotropy,
magnetic fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic fields,
magnetic fields and magnetism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic fields and magnetism,
magnetic mineralogy and petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic mineralogy and petrology,
magnetic storms and substorms,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetic storms and substorms,
magnetopause and boundary layers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetopause and boundary layers,
magnetosphere interactions with satellites and rings,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetosphere interactions with satellites and rings,
magnetosphere/ionosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetosphere/ionosphere interactions,
magnetosphere: inner,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetosphere: inner,
magnetosphere: outer,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetosphere: outer,
magnetospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetospheres,
magnetospheric configuration and dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetospheric configuration and dynamics,
magnetospheric physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetospheric physics,
magnetostratigraphy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetostratigraphy,
magnetotail boundary layers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,magnetotail boundary layers,
major and trace element geochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,major and trace element geochemistry,
mantle,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mantle,
mantle processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mantle processes,
marginal and semi-enclosed seas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marginal and semi-enclosed seas,
marine electromagnetics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine electromagnetics,
marine geology and geophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine geology and geophysics,
marine hydrogeology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine hydrogeology,
marine inorganic chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine inorganic chemistry,
marine magnetics and paleomagnetics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine magnetics and paleomagnetics,
marine meteorology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine meteorology,
marine organic chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine organic chemistry,
marine sediments: processes and transport,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine sediments: processes and transport,
marine seismics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine seismics,
marine systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,marine systems,
markup languages,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,markup languages,
martian satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,martian satellites,
mathematical and computer modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mathematical and computer modeling,
mathematical and numerical techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mathematical and numerical techniques,
mathematical geophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mathematical geophysics,
measurement and standards,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,measurement and standards,
"mechanics, theory, and modeling",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"mechanics, theory, and modeling",
megacities and urban environment,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,megacities and urban environment,
melanges,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,melanges,
mesoscale meteorology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mesoscale meteorology,
mesoscopic fabrics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mesoscopic fabrics,
mesospheric dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mesospheric dynamics,
mesozoic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mesozoic,
metadata,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,metadata,
metadata: provenance,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,metadata: provenance,
metadata: quality,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,metadata: quality,
metamorphic petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,metamorphic petrology,
meteor-trail physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,meteor-trail physics,
meteorite mineralogy and petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,meteorite mineralogy and petrology,
meteorites and tektites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,meteorites and tektites,
meteors,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,meteors,
methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,methods,
mhd waves and instabilities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mhd waves and instabilities,
mhd waves and turbulence,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mhd waves and turbulence,
microbe/mineral interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,microbe/mineral interactions,
microbiology and microbial ecology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,microbiology and microbial ecology,
"microbiology: ecology, physiology and genomics",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"microbiology: ecology, physiology and genomics",
micropaleontology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,micropaleontology,
microstructure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,microstructure,
microstructures,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,microstructures,
microzonation and macrozonation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,microzonation and macrozonation,
mid-oceanic ridge processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mid-oceanic ridge processes,
middle atmosphere dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,middle atmosphere dynamics,
middle atmosphere: composition and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,middle atmosphere: composition and chemistry,
middle atmosphere: constituent transport and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,middle atmosphere: constituent transport and chemistry,
middle atmosphere: energy deposition,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,middle atmosphere: energy deposition,
midlatitude ionosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,midlatitude ionosphere,
midocean ridge processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,midocean ridge processes,
milankovitch theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,milankovitch theory,
mineral and crystal chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mineral and crystal chemistry,
mineral occurrences and deposits,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mineral occurrences and deposits,
mineral physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mineral physics,
mineralogy and petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mineralogy and petrology,
miscellaneous,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,miscellaneous,
model calibration,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,model calibration,
model verification and validation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,model verification and validation,
modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,modeling,
modeling and forecasting,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,modeling and forecasting,
monitoring networks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,monitoring networks,
"monitoring, forecasting, prediction",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"monitoring, forecasting, prediction",
monte carlo technique,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,monte carlo technique,
mud volcanism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,mud volcanism,
multihazards,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,multihazards,
natural products chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,natural products chemistry,
nearshore processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nearshore processes,
neogene,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,neogene,
neptunian satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,neptunian satellites,
"neural networks, fuzzy logic, machine learning",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"neural networks, fuzzy logic, machine learning",
neutral particles,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,neutral particles,
new fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,new fields,
nitrogen cycling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nitrogen cycling,
"nmr, mossbauer spectroscopy, and other magnetic techniques",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"nmr, mossbauer spectroscopy, and other magnetic techniques",
non-tectonic deformation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,non-tectonic deformation,
nonlinear differential equations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nonlinear differential equations,
nonlinear electromagnetics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nonlinear electromagnetics,
nonlinear geophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nonlinear geophysics,
nonlinear maps,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nonlinear maps,
nonlinear phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nonlinear phenomena,
"nonlinear waves, shock waves, solitons",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"nonlinear waves, shock waves, solitons",
north american monsoon,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,north american monsoon,
notices and announcements,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,notices and announcements,
numerical algorithms,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,numerical algorithms,
numerical approximations and analyses,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,numerical approximations and analyses,
numerical approximations and analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,numerical approximations and analysis,
numerical methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,numerical methods,
numerical modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,numerical modeling,
numerical solutions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,numerical solutions,
nutrients and nutrient cycling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,nutrients and nutrient cycling,
obduction tectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,obduction tectonics,
ocean data assimilation and reanalysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean data assimilation and reanalysis,
ocean drilling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean drilling,
ocean fog,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean fog,
ocean influence of earth rotation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean influence of earth rotation,
ocean monitoring with geodetic techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean monitoring with geodetic techniques,
ocean observatories and experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean observatories and experiments,
ocean observing systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean observing systems,
ocean predictability and prediction,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean predictability and prediction,
ocean sciences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean sciences,
ocean/atmosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean/atmosphere interactions,
ocean/earth/atmosphere/hydrosphere/cryosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ocean/earth/atmosphere/hydrosphere/cryosphere interactions,
oceanic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanic,
oceanic crust,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanic crust,
oceanic hotspots and intraplate volcanism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanic hotspots and intraplate volcanism,
oceanic plateaus and microcontinents,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanic plateaus and microcontinents,
